Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,8.7%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,8.0%
Bharti Airtel Ltd.,Communication,Equity,6.3%
NTPC Ltd.,Energy,Equity,6.2%
State Bank of India,Financial,Equity,4.9%
ICICI Bank Ltd.,Financial,Equity,4.0%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,3.7%
HCL Technologies Ltd.,Technology,Equity,3.6%
LIC Housing Finance Ltd.,Financial,Equity,3.2%
SBI Life Insurance Company Ltd.,Insurance,Equity,3.0%
TVS Motor Company Ltd.,Automobile,Equity,2.9%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,2.8%
Muthoot Finance Ltd.,Financial,Equity,2.6%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.6%
Gland Pharma Ltd.,Healthcare,Equity,2.4%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,2.2%
Tata Communications Ltd.,Communication,Equity,2.0%
CESC Ltd.,Energy,Equity,2.0%
Maruti Suzuki India Ltd.,Automobile,Equity,2.0%
Infosys Ltd.,Technology,Equity,1.9%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.8%
Viatris Inc,Healthcare,Forgn. Eq,1.7%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.7%
The Federal Bank Ltd.,Financial,Equity,1.3%
The Great Eastern Shipping Company Ltd.,Services,Equity,1.3%
Hero Motocorp Ltd.,Automobile,Equity,1.3%
Aster DM Healthcare Ltd.,Healthcare,Equity,1.3%
Natco Pharma Ltd.,Healthcare,Equity,1.1%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.0%
Max Financial Services Ltd.,Financial,Equity,1.0%
Gujarat State Petronet Ltd.,Energy,Equity,0.7%
Karur Vysya Bank Ltd.,Financial,Equity,0.7%
GR Infraprojects Ltd.,Construction,Equity,0.7%
Arvind Fashions Ltd.,Textiles,Equity,0.7%
UPL Ltd.,Chemicals,Equity,0.5%
Manappuram Finance Ltd.,Financial,Equity,0.5%
Cyient Ltd.,Technology,Equity,0.5%
Alkem Laboratories Ltd.,Healthcare,Equity,0.5%
Bajaj Consumer Care Ltd.,Consumer Staples,Equity,0.4%
Aurobindo Pharma Ltd.,Healthcare,Equity,0.3%
SBI Cards And Payment Services Ltd.,Financial,Equity,0.3%
Gillette India Ltd.,Consumer Staples,Equity,0.2%
Himatsingka Seide Ltd.,Textiles,Equity,0.1%
GAIL (India) Ltd.,Energy,Equity,0.1%
