Name,Sector,Instrument,Assets
NTPC Ltd.,Energy,Equity,9.3%
Larsen & Toubro Ltd.,Construction,Equity,8.7%
Bharti Airtel Ltd.,Communication,Equity,6.4%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,5.7%
HDFC Bank Ltd.,Financial,Equity,5.2%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,3.9%
Housing Development Finance Corporation Ltd.,Financial,Equity,3.8%
Axis Bank Ltd.,Financial,Equity,3.0%
State Bank of India,Financial,Equity,2.7%
NCC Ltd.,Construction,Equity,2.4%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.0%
LIC Housing Finance Ltd.,Financial,Equity,2.0%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.9%
AIA Engineering Ltd.,Metals & Mining,Equity,1.8%
ICICI Bank Ltd.,Financial,Equity,1.8%
Sundaram Finance Ltd.,Financial,Equity,1.7%
Tata Steel Ltd.,Metals & Mining,Equity,1.5%
The Great Eastern Shipping Company Ltd.,Services,Equity,1.5%
JMC Projects (India) Ltd.,Construction,Equity,1.4%
Gujarat Pipavav Port Ltd.,Services,Equity,1.3%
Indian Oil Corporation Ltd.,Energy,Equity,1.3%
Birla Corporation Ltd.,Construction,Equity,1.3%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.2%
JM Financial Ltd.,Financial,Equity,1.2%
Cummins India Ltd.,Capital Goods,Equity,1.2%
Chennai Petroleum Corporation Ltd.,Energy,Equity,1.2%
Container Corporation Of India Ltd.,Services,Equity,1.2%
GAIL (India) Ltd.,Energy,Equity,1.2%
NHPC Ltd.,Energy,Equity,1.1%
GR Infraprojects Ltd.,Construction,Equity,1.1%
Heidelberg Cement India Ltd.,Construction,Equity,1.1%
Mayur Uniquoters Ltd.,Textiles,Equity,1.0%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.0%
Gateway Distriparks Ltd.,Services,Equity,0.9%
TD Power Systems Ltd.,Capital Goods,Equity,0.9%
KNR Constructions Ltd.,Construction,Equity,0.9%
Embassy Office Parks REIT,Construction,REITs,0.9%
Karur Vysya Bank Ltd.,Financial,Equity,0.8%
Triveni Turbine Ltd.,Capital Goods,Equity,0.8%
Samvardhana Motherson International Ltd.,Automobile,Equity,0.7%
SJVN Ltd.,Energy,Equity,0.7%
Ultratech Cement Ltd.,Construction,Equity,0.6%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.6%
Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,0.6%
Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,0.5%
PNC Infratech Ltd.,Construction,Equity,0.4%
NLC India Ltd.,Energy,Equity,0.4%
JK Lakshmi Cement Ltd.,Construction,Equity,0.4%
Sundram Fasteners Ltd.,Capital Goods,Equity,0.4%
Tega Industries Ltd.,Metals & Mining,Equity,0.3%
Sarda Energy & Minerals Ltd.,Metals & Mining,Equity,0.3%
Cochin Shipyard Ltd.,Capital Goods,Equity,0.2%
Delhivery Ltd.,Services,Equity,0.2%
