Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.0%
Infosys Ltd.,Technology,Equity,6.0%
Axis Bank Ltd.,Financial,Equity,5.7%
Bharti Airtel Ltd.,Communication,Equity,5.0%
HDFC Bank Ltd.,Financial,Equity,4.7%
Avenue Supermarts Ltd.,Services,Equity,4.1%
SBI Cards And Payment Services Ltd.,Financial,Equity,4.0%
Reliance Industries Ltd.,Energy,Equity,3.7%
HCL Technologies Ltd.,Technology,Equity,3.7%
Maruti Suzuki India Ltd.,Automobile,Equity,3.2%
State Bank of India,Financial,Equity,3.1%
Larsen & Toubro Ltd.,Construction,Equity,2.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.5%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.4%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.3%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.0%
TVS Motor Company Ltd.,Automobile,Equity,2.0%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.8%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.7%
Syngene International Ltd.,Healthcare,Equity,1.7%
United Breweries Ltd.,Consumer Staples,Equity,1.7%
INOX Leisure Ltd.,Services,Equity,1.7%
Ultratech Cement Ltd.,Construction,Equity,1.5%
V-Mart Retail Ltd.,Services,Equity,1.5%
Container Corporation Of India Ltd.,Services,Equity,1.5%
Tech Mahindra Ltd.,Technology,Equity,1.4%
Sundram Fasteners Ltd.,Capital Goods,Equity,1.3%
Mahindra Lifespace Developers Ltd.,Construction,Equity,1.3%
Max Financial Services Ltd.,Financial,Equity,1.2%
Mphasis Ltd.,Technology,Equity,1.2%
Blue Star Ltd.,Consumer Discretionary,Equity,1.1%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.0%
Ashok Leyland Ltd.,Automobile,Equity,1.0%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.0%
Arvind Fashions Ltd.,Textiles,Equity,0.9%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.9%
Birlasoft Ltd.,Technology,Equity,0.8%
Multi Commodity Exchange Of India Ltd.,Services,Equity,0.8%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.6%
Ipca Laboratories Ltd.,Healthcare,Equity,0.5%
Zydus Wellness Ltd.,Consumer Staples,Equity,0.5%
Gujarat Pipavav Port Ltd.,Services,Equity,0.5%
Quess Corp Ltd.,Financial,Equity,0.4%
Sapphire Foods India Ltd.,Services,Equity,0.4%
Equitas Holdings Ltd.,Financial,Equity,0.4%
PNC Infratech Ltd.,Construction,Equity,0.3%
Barbeque-Nation Hospitality Ltd.,Services,Equity,0.2%
JM Financial Ltd.,Financial,Equity,0.1%
