Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,16.9%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,8.3%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,5.1%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,4.9%
Alkem Laboratories Ltd.,Healthcare,Equity,4.8%
Sanofi India Ltd.,Healthcare,Equity,4.0%
FDC Ltd.,Healthcare,Equity,3.7%
Divi's Laboratories Ltd.,Healthcare,Equity,3.5%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,3.5%
Aurobindo Pharma Ltd.,Healthcare,Equity,3.2%
Natco Pharma Ltd.,Healthcare,Equity,3.1%
Cipla Ltd.,Healthcare,Equity,2.9%
Ipca Laboratories Ltd.,Healthcare,Equity,2.8%
Fortis Healthcare Ltd.,Healthcare,Equity,2.7%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.7%
Indoco Remedies Ltd.,Healthcare,Equity,2.7%
Gland Pharma Ltd.,Healthcare,Equity,2.6%
Viatris Inc,Healthcare,Forgn. Eq,2.4%
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,2.4%
Aster DM Healthcare Ltd.,Healthcare,Equity,2.4%
Krsnaa Diagnostics Ltd.,Healthcare,Equity,2.1%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.6%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,1.6%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.5%
Ajanta Pharma Ltd.,Healthcare,Equity,1.4%
Zydus Lifesciences Ltd.,Healthcare,Equity,1.4%
Biocon Ltd.,Healthcare,Equity,1.3%
Windlas Biotech Ltd.,Healthcare,Equity,0.9%
Dishman Carbogen Amcis Ltd.,Healthcare,Equity,0.5%
Syngene International Ltd.,Healthcare,Equity,0.4%
Metropolis Healthcare Ltd.,Healthcare,Equity,0.3%
