Name,Sector,Instrument,Assets
State Bank of India,Financial,Equity,20.1%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,10.2%
NTPC Ltd.,Energy,Equity,9.2%
Power Grid Corporation Of India Ltd.,Energy,Equity,9.2%
Bank Of Baroda,Financial,Equity,7.5%
Coal India Ltd.,Energy,Equity,5.6%
Container Corporation Of India Ltd.,Services,Equity,4.7%
Canara Bank,Financial,Equity,4.5%
NHPC Ltd.,Energy,Equity,3.2%
Reserve Bank of India,Financial,T-Bills,3.0%
SJVN Ltd.,Energy,Equity,2.2%
National Aluminium Company Ltd.,Metals & Mining,Equity,2.1%
Life Insurance Corporation of India,Insurance,Equity,2.0%
Railtel Corporation Of India Ltd.,Communication,Equity,1.8%
Steel Authority Of India Ltd.,Metals & Mining,Equity,1.6%
Reserve Bank of India,Financial,T-Bills,1.5%
Oil India Ltd.,Energy,Equity,1.5%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.5%
Bharat Heavy Electricals Ltd.,Capital Goods,Equity,1.1%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.1%
Cochin Shipyard Ltd.,Capital Goods,Equity,0.9%
Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.5%
Power Finance Corporation Ltd.,Financial,Equity,0.4%
