Name,Sector,Instrument,Assets
Housing Development Finance Corporation Ltd.,Financial,Equity,7.7%
ICICI Bank Ltd.,Financial,Equity,5.0%
HCL Technologies Ltd.,Technology,Equity,4.9%
Power Grid Corporation Of India Ltd.,Energy,Equity,4.0%
Tata Consultancy Services Ltd.,Technology,Equity,4.0%
Muthoot Finance Ltd.,Financial,Equity,3.8%
Infosys Ltd.,Technology,Equity,3.5%
ITC Ltd.,Consumer Staples,Equity,3.2%
Axis Bank Ltd.,Financial,Equity,2.9%
Britannia Industries Ltd.,Consumer Staples,Equity,2.9%
Bajaj Auto Ltd.,Automobile,Equity,2.9%
Bharti Airtel Ltd.,Communication,Equity,2.6%
Eicher Motors Ltd.,Automobile,Equity,2.6%
State Bank of India,Financial,Equity,2.6%
Colgate-Palmolive (India) Ltd.,Consumer Staples,Equity,2.4%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.3%
LTIMindtree Ltd.,Technology,Equity,2.3%
HDFC Asset Management Company Ltd.,Financial,Equity,2.3%
Tata Communications Ltd.,Communication,Equity,2.2%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.2%
Bata India Ltd.,Consumer Staples,Equity,2.2%
Coal India Ltd.,Energy,Equity,2.2%
Hero Motocorp Ltd.,Automobile,Equity,2.0%
LIC Housing Finance Ltd.,Financial,Equity,1.8%
Gujarat Gas Ltd.,Energy,Equity,1.6%
Page Industries Ltd.,Textiles,Equity,1.6%
Marico Ltd.,Consumer Staples,Equity,1.6%
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,1.4%
Coromandel International Ltd.,Chemicals,Equity,1.3%
Mphasis Ltd.,Technology,Equity,1.3%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.1%
Abbott India Ltd.,Healthcare,Equity,1.1%
Nestle India Ltd.,Consumer Staples,Equity,1.1%
Gland Pharma Ltd.,Healthcare,Equity,1.1%
Deepak Nitrite Ltd.,Chemicals,Equity,1.1%
