Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,7.7%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,7.3%
HDFC Bank Ltd.,Financial,Equity,5.9%
Infosys Ltd.,Technology,Equity,5.4%
Maruti Suzuki India Ltd.,Automobile,Equity,5.2%
State Bank of India,Financial,Equity,5.0%
Bharti Airtel Ltd.,Communication,Equity,4.2%
SBI Life Insurance Company Ltd.,Insurance,Equity,4.0%
Larsen & Toubro Ltd.,Construction,Equity,3.8%
Ultratech Cement Ltd.,Construction,Equity,3.5%
Reliance Industries Ltd.,Energy,Equity,3.4%
Britannia Industries Ltd.,Consumer Staples,Equity,3.2%
Axis Bank Ltd.,Financial,Equity,3.1%
TVS Motor Company Ltd.,Automobile,Equity,3.0%
NTPC Ltd.,Energy,Equity,2.9%
Zee Entertainment Enterprises Ltd.,Services,Equity,2.7%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.6%
Hero Motocorp Ltd.,Automobile,Equity,2.5%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.5%
Muthoot Finance Ltd.,Financial,Equity,2.4%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,2.3%
LIC Housing Finance Ltd.,Financial,Equity,2.3%
The Phoenix Mills Ltd.,Construction,Equity,2.1%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.0%
Dabur India Ltd.,Consumer Staples,Equity,1.9%
Havells India Ltd.,Capital Goods,Equity,1.5%
GR Infraprojects Ltd.,Construction,Equity,1.4%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.3%
HCL Technologies Ltd.,Technology,Equity,0.9%
Brigade Enterprises Ltd.,Construction,Equity,0.5%
