Name,Sector,Instrument,Assets
Infosys Ltd.,Technology,Equity,7.4%
Tata Consultancy Services Ltd.,Technology,Equity,5.4%
ICICI Bank Ltd.,Financial,Equity,5.0%
Carborundum Universal Ltd.,Metals & Mining,Equity,4.6%
Tube Investments Of India Ltd.,Automobile,Equity,4.2%
Titan Company Ltd.,Consumer Discretionary,Equity,3.5%
Atul Ltd.,Chemicals,Equity,3.5%
NTPC Ltd.,Energy,Equity,3.4%
Bharat Electronics Ltd.,Capital Goods,Equity,3.3%
Power Grid Corporation Of India Ltd.,Energy,Equity,3.2%
Maruti Suzuki India Ltd.,Automobile,Equity,3.1%
Larsen & Toubro Ltd.,Construction,Equity,3.0%
Bajaj Finance Ltd.,Financial,Equity,2.9%
Reliance Industries Ltd.,Energy,Equity,2.8%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.8%
Divi's Laboratories Ltd.,Healthcare,Equity,2.7%
NHPC Ltd.,Energy,Equity,2.6%
Relaxo Footwears Ltd.,Consumer Staples,Equity,2.4%
Mahanagar Gas Ltd.,Energy,Equity,2.4%
ITC Ltd.,Consumer Staples,Equity,2.3%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,2.3%
Tata Steel Ltd.,Metals & Mining,Equity,2.1%
Multi Commodity Exchange Of India Ltd.,Services,Equity,2.0%
Tech Mahindra Ltd.,Technology,Equity,2.0%
Bharat Forge Ltd.,Automobile,Equity,2.0%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.9%
Hindustan Zinc Ltd.,Metals & Mining,Equity,1.8%
BEML Ltd.,Capital Goods,Equity,1.6%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.5%
Colgate-Palmolive (India) Ltd.,Consumer Staples,Equity,1.4%
Asian Paints Ltd.,Chemicals,Equity,1.3%
State Bank of India,Financial,Equity,1.3%
Tata Power Company Ltd.,Energy,Equity,1.2%
Torrent Power Ltd.,Energy,Equity,1.1%
ACC Ltd.,Construction,Equity,1.1%
Escorts Kubota Ltd.,Automobile,Equity,1.0%
Dr. Lal Pathlabs Ltd.,Healthcare,Equity,0.9%
BEML Land Assets Ltd.,Services,Equity,0.4%
