Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,16.6%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,10.1%
Divi's Laboratories Ltd.,Healthcare,Equity,9.8%
Cipla Ltd.,Healthcare,Equity,9.1%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,7.3%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,5.2%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,4.3%
Ipca Laboratories Ltd.,Healthcare,Equity,3.8%
Abbott India Ltd.,Healthcare,Equity,3.6%
Alkem Laboratories Ltd.,Healthcare,Equity,3.5%
Syngene International Ltd.,Healthcare,Equity,2.8%
Vinati Organics Ltd.,Chemicals,Equity,2.4%
Laurus Labs Ltd.,Healthcare,Equity,2.4%
Aster DM Healthcare Ltd.,Healthcare,Equity,2.1%
Pfizer Ltd.,Healthcare,Equity,2.1%
Jubilant Ingrevia Ltd.,Chemicals,Equity,2.0%
Zydus Lifesciences Ltd.,Healthcare,Equity,1.9%
Gland Pharma Ltd.,Healthcare,Equity,1.9%
Indoco Remedies Ltd.,Healthcare,Equity,1.4%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.4%
Rossari Biotech Ltd.,Chemicals,Equity,1.3%
HDFC Life Insurance Co Ltd.,Insurance,Equity,1.3%
Natco Pharma Ltd.,Healthcare,Equity,0.9%
