Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.2%
ICICI Bank Ltd.,Financial,Equity,7.4%
Reliance Industries Ltd.,Energy,Equity,6.9%
State Bank of India,Financial,Equity,5.7%
Infosys Ltd.,Technology,Equity,5.2%
Axis Bank Ltd.,Financial,Equity,5.0%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.4%
Tata Consultancy Services Ltd.,Technology,Equity,2.8%
Larsen & Toubro Ltd.,Construction,Equity,2.6%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.4%
Titan Company Ltd.,Consumer Discretionary,Equity,2.1%
Bajaj Finance Ltd.,Financial,Equity,2.0%
HCL Technologies Ltd.,Technology,Equity,2.0%
Ultratech Cement Ltd.,Construction,Equity,1.9%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.9%
Tata Steel Ltd.,Metals & Mining,Equity,1.7%
Persistent Systems Ltd.,Technology,Equity,1.6%
Maruti Suzuki India Ltd.,Automobile,Equity,1.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.6%
DLF Ltd. - (DLF),Construction,Equity,1.5%
ABB India Ltd.,Capital Goods,Equity,1.5%
ITC Ltd.,Consumer Staples,Equity,1.3%
Indusind Bank Ltd.,Financial,Equity,1.3%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.3%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.3%
Bharti Airtel Ltd.,Communication,Equity,1.3%
SRF Ltd.,Diversified,Equity,1.2%
Ashok Leyland Ltd.,Automobile,Equity,1.2%
Bharat Forge Ltd.,Automobile,Equity,1.1%
Bharat Electronics Ltd.,Capital Goods,Equity,1.1%
HDFC Life Insurance Co Ltd.,Insurance,Equity,1.0%
Avenue Supermarts Ltd.,Services,Equity,1.0%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.0%
Godrej Properties Ltd.,Construction,Equity,0.9%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.9%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.9%
Pidilite Industries Ltd.,Chemicals,Equity,0.9%
Bosch Ltd.,Automobile,Equity,0.9%
Eicher Motors Ltd.,Automobile,Equity,0.9%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.8%
PI Industries Ltd.,Chemicals,Equity,0.8%
Asian Paints Ltd.,Chemicals,Equity,0.8%
Vinati Organics Ltd.,Chemicals,Equity,0.8%
Cipla Ltd.,Healthcare,Equity,0.8%
UPL Ltd.,Chemicals,Equity,0.8%
Nestle India Ltd.,Consumer Staples,Equity,0.7%
Devyani International Ltd.,Services,Equity,0.7%
Divi's Laboratories Ltd.,Healthcare,Equity,0.7%
PCBL Ltd.,Chemicals,Equity,0.6%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.6%
Redington Ltd.,Services,Equity,0.3%
ICICI Securities Ltd.,Financial,Equity,0.3%
