Name,Sector,Instrument,Assets
The Federal Bank Ltd.,Financial,Equity,4.6%
UNO Minda Ltd.,Automobile,Equity,4.0%
Trent Ltd.,Services,Equity,3.9%
ICICI Bank Ltd.,Financial,Equity,3.5%
PI Industries Ltd.,Chemicals,Equity,3.1%
Bharat Electronics Ltd.,Capital Goods,Equity,3.1%
Supreme Industries Ltd.,Chemicals,Equity,2.8%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.6%
Astral Ltd.,Chemicals,Equity,2.4%
Balkrishna Industries Ltd.,Automobile,Equity,2.4%
Coforge Ltd.,Technology,Equity,2.4%
Bank Of Baroda,Financial,Equity,2.3%
Alkem Laboratories Ltd.,Healthcare,Equity,2.3%
Dalmia Bharat Ltd.,Construction,Equity,2.2%
Relaxo Footwears Ltd.,Consumer Staples,Equity,2.2%
SKF India Ltd.,Capital Goods,Equity,2.2%
Arihant Superstructures Ltd.,Construction,Equity,2.1%
State Bank of India,Financial,Equity,1.9%
ACC Ltd.,Construction,Equity,1.9%
Ashok Leyland Ltd.,Automobile,Equity,1.8%
Endurance Technologies Ltd.,Automobile,Equity,1.8%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.7%
Info Edge (India) Ltd.,Services,Equity,1.7%
Voltas Ltd.,Consumer Discretionary,Equity,1.7%
Bharat Forge Ltd.,Automobile,Equity,1.7%
Polycab India Ltd.,Capital Goods,Equity,1.5%
Godrej Properties Ltd.,Construction,Equity,1.5%
UPL Ltd.,Chemicals,Equity,1.4%
Max Financial Services Ltd.,Financial,Equity,1.4%
The Ramco Cements Ltd.,Construction,Equity,1.4%
Muthoot Finance Ltd.,Financial,Equity,1.3%
Container Corporation Of India Ltd.,Services,Equity,1.3%
Coromandel International Ltd.,Chemicals,Equity,1.3%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.3%
REC Ltd.,Financial,Equity,1.3%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.3%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.3%
Apollo Tyres Ltd.,Automobile,Equity,1.2%
City Union Bank Ltd.,Financial,Equity,1.2%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,1.2%
3M India Ltd.,Diversified,Equity,1.2%
Bayer CropScience Ltd.,Chemicals,Equity,1.1%
Mitsu Chem Plast Ltd.,Chemicals,Equity,1.1%
Jubilant FoodWorks Ltd.,Services,Equity,1.1%
Bata India Ltd.,Consumer Staples,Equity,1.0%
Devyani International Ltd.,Services,Equity,1.0%
Oracle Financial Services Software Ltd.,Technology,Equity,0.9%
Laurus Labs Ltd.,Healthcare,Equity,0.8%
Bajaj Finance Ltd.,Financial,Equity,0.8%
Aarti Surfactants Ltd.,Chemicals,Equity,0.8%
Indiamart Intermesh Ltd.,Services,Equity,0.7%
IG Petrochemicals Ltd.,Chemicals,Equity,0.7%
LTIMindtree Ltd.,Technology,Equity,0.7%
PCBL Ltd.,Chemicals,Equity,0.6%
Bosch Ltd.,Automobile,Equity,0.6%
Tata Power Company Ltd.,Energy,Equity,0.5%
Firstsource Solutions Ltd.,Services,Equity,0.5%
Aarti Pharmalabs Ltd.,Services,Equity,0.1%
