Name,Sector,Instrument,Assets
Elgi Equipments Ltd.,Capital Goods,Equity,5.5%
Tube Investments Of India Ltd.,Automobile,Equity,4.5%
Kei Industries Ltd.,Capital Goods,Equity,4.2%
Fine Organic Industries Ltd.,Chemicals,Equity,4.2%
Timken India Ltd.,Capital Goods,Equity,4.2%
Grindwell Norton Ltd.,Metals & Mining,Equity,3.6%
Navin Fluorine International Ltd.,Chemicals,Equity,3.3%
IDFC First Bank Ltd.,Financial,Equity,3.1%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,3.0%
Carborundum Universal Ltd.,Metals & Mining,Equity,2.9%
KNR Constructions Ltd.,Construction,Equity,2.8%
Greenpanel Industries Ltd.,Consumer Staples,Equity,2.6%
Deepak Nitrite Ltd.,Chemicals,Equity,2.6%
Blue Star Ltd.,Consumer Discretionary,Equity,2.3%
Can Fin Homes Ltd.,Financial,Equity,2.3%
Hitachi Energy India Ltd.,Capital Goods,Equity,2.1%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,2.0%
Kirloskar Oil Engines Ltd.,Capital Goods,Equity,1.9%
Lemon Tree Hotels Ltd.,Services,Equity,1.9%
Galaxy Surfactants Ltd.,Chemicals,Equity,1.8%
KSB Ltd.,Capital Goods,Equity,1.8%
Relaxo Footwears Ltd.,Consumer Staples,Equity,1.8%
Finolex Industries Ltd.,Chemicals,Equity,1.7%
V-Mart Retail Ltd.,Services,Equity,1.6%
PNC Infratech Ltd.,Construction,Equity,1.6%
Canara Bank,Financial,Equity,1.6%
Hatsun Agro Product Ltd.,Consumer Staples,Equity,1.6%
Arihant Superstructures Ltd.,Construction,Equity,1.6%
Sheela Foam Ltd.,Consumer Discretionary,Equity,1.5%
Birlasoft Ltd.,Technology,Equity,1.5%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.5%
Bank Of Baroda,Financial,Equity,1.5%
INOX Leisure Ltd.,Services,Equity,1.3%
Dhanuka Agritech Ltd.,Chemicals,Equity,1.2%
Orient Electric Ltd.,Consumer Discretionary,Equity,1.1%
Computer Age Management Services Ltd.,Services,Equity,1.1%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.1%
Cera Sanitaryware Ltd.,Construction,Equity,1.0%
Greenply Industries Ltd.,Consumer Staples,Equity,1.0%
Somany Ceramics Ltd.,Construction,Equity,0.9%
Voltas Ltd.,Consumer Discretionary,Equity,0.9%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,0.9%
DCB Bank Ltd.,Financial,Equity,0.8%
Heidelberg Cement India Ltd.,Construction,Equity,0.8%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.8%
Rossari Biotech Ltd.,Chemicals,Equity,0.6%
MM Forgings Ltd.,Metals & Mining,Equity,0.6%
Mitsu Chem Plast Ltd.,Chemicals,Equity,0.6%
Restaurant Brands Asia Ltd.,Services,Equity,0.5%
Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,0.2%
TruCap Finance Ltd.,Financial,Equity,0.2%
