Name,Sector,Instrument,Assets
Shaily Engineering Plastics Ltd.,Chemicals,Equity,3.1%
Metro Brands Ltd.,Consumer Staples,Equity,2.9%
Radico Khaitan Ltd.,Consumer Staples,Equity,2.9%
Kajaria Ceramics Ltd.,Construction,Equity,2.7%
Westlife Foodworld Ltd,Services,Equity,2.7%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,2.7%
Carborundum Universal Ltd.,Metals & Mining,Equity,2.7%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,2.4%
NOCIL Ltd.,Chemicals,Equity,2.4%
Automotive Axles Ltd.,Automobile,Equity,2.4%
State Bank of India,Financial,Equity,2.2%
Ashok Leyland Ltd.,Automobile,Equity,2.1%
JK Lakshmi Cement Ltd.,Construction,Equity,2.1%
EIH Ltd.,Services,Equity,2.0%
Wheels India Ltd.,Automobile,Equity,2.0%
V-Mart Retail Ltd.,Services,Equity,2.0%
Navin Fluorine International Ltd.,Chemicals,Equity,1.8%
Alicon Castalloy Ltd.,Metals & Mining,Equity,1.8%
Sagar Cements Ltd.,Construction,Equity,1.8%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.8%
Vedant Fashions Ltd.,Services,Equity,1.7%
Zensar Technologies Ltd.,Technology,Equity,1.6%
Birlasoft Ltd.,Technology,Equity,1.6%
eClerx Services Ltd.,Services,Equity,1.6%
Cyient Ltd.,Technology,Equity,1.6%
UTI Asset Management Company Ltd.,Financial,Equity,1.5%
Maruti Suzuki India Ltd.,Automobile,Equity,1.5%
Jamna Auto Industries Ltd.,Automobile,Equity,1.5%
Mayur Uniquoters Ltd.,Textiles,Equity,1.5%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.4%
Can Fin Homes Ltd.,Financial,Equity,1.4%
GNA Axles Ltd.,Automobile,Equity,1.4%
Cera Sanitaryware Ltd.,Construction,Equity,1.4%
Heranba Industries Ltd.,Chemicals,Equity,1.4%
DFM Foods Ltd.,Consumer Staples,Equity,1.4%
VRL Logistics Ltd.,Services,Equity,1.4%
Mas Financial Services Ltd.,Financial,Equity,1.3%
AIA Engineering Ltd.,Metals & Mining,Equity,1.3%
Godfrey Phillips India Ltd.,Consumer Staples,Equity,1.2%
Gland Pharma Ltd.,Healthcare,Equity,1.2%
Avanti Feeds Ltd.,Consumer Staples,Equity,1.2%
Jubilant FoodWorks Ltd.,Services,Equity,1.2%
Chemplast Sanmar Ltd.,Chemicals,Equity,1.1%
FDC Ltd.,Healthcare,Equity,1.1%
Syrma SGS Technology Ltd.,Capital Goods,Equity,1.1%
DCM Shriram Ltd.,Diversified,Equity,1.1%
Poonawalla Fincorp Ltd.,Financial,Equity,1.1%
Gulf Oil Lubricants India Ltd.,Energy,Equity,1.1%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.1%
Greenply Industries Ltd.,Consumer Staples,Equity,1.0%
Graphite India Ltd.,Construction,Equity,1.0%
Heritage Foods Ltd.,Consumer Staples,Equity,1.0%
Taj GVK Hotels & Resorts Ltd.,Services,Equity,1.0%
Mahindra Lifespace Developers Ltd.,Construction,Equity,0.9%
Indian Bank,Financial,Equity,0.9%
Gujarat State Petronet Ltd.,Energy,Equity,0.9%
Keystone Realtors Ltd,Construction,Equity,0.9%
Vardhman Textiles Ltd.,Textiles,Equity,0.7%
Kirloskar Brothers Ltd.,Capital Goods,Equity,0.7%
Nitin Spinners Ltd.,Textiles,Equity,0.7%
Krsnaa Diagnostics Ltd.,Healthcare,Equity,0.7%
Finolex Industries Ltd.,Chemicals,Equity,0.6%
Emami Ltd.,Consumer Staples,Equity,0.6%
Schaeffler India Ltd.,Capital Goods,Equity,0.6%
