Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,10.0%
ICICI Bank Ltd.,Financial,Equity,9.6%
State Bank of India,Financial,Equity,8.2%
Reliance Industries Ltd.,Energy,Equity,6.1%
Infosys Ltd.,Technology,Equity,5.9%
Tata Consultancy Services Ltd.,Technology,Equity,3.6%
ITC Ltd.,Consumer Staples,Equity,3.4%
Axis Bank Ltd.,Financial,Equity,3.0%
Maruti Suzuki India Ltd.,Automobile,Equity,2.6%
Larsen & Toubro Ltd.,Construction,Equity,2.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.5%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.5%
Anupam Rasayan India Ltd.,Chemicals,Equity,2.3%
Indusind Bank Ltd.,Financial,Equity,2.0%
Bharti Airtel Ltd.,Communication,Equity,2.0%
Rossari Biotech Ltd.,Chemicals,Equity,1.9%
LTIMindtree Ltd.,Technology,Equity,1.9%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.5%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.5%
Asian Paints Ltd.,Chemicals,Equity,1.5%
Titan Company Ltd.,Consumer Discretionary,Equity,1.2%
L&T Technology Services Ltd.,Technology,Equity,1.1%
TVS Motor Company Ltd.,Automobile,Equity,1.1%
Ultratech Cement Ltd.,Construction,Equity,1.1%
Bajaj Finance Ltd.,Financial,Equity,1.0%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.0%
Bharat Forge Ltd.,Automobile,Equity,1.0%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.0%
ABB India Ltd.,Capital Goods,Equity,0.9%
NTPC Ltd.,Energy,Equity,0.8%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,0.8%
Tata Steel Ltd.,Metals & Mining,Equity,0.8%
Cipla Ltd.,Healthcare,Equity,0.8%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.8%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
Divi's Laboratories Ltd.,Healthcare,Equity,0.7%
Sunteck Realty Ltd.,Construction,Equity,0.7%
HCL Technologies Ltd.,Technology,Equity,0.7%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.6%
PSP Projects Ltd.,Construction,Equity,0.5%
Kajaria Ceramics Ltd.,Construction,Equity,0.5%
Jubilant FoodWorks Ltd.,Services,Equity,0.5%
Interglobe Aviation Ltd.,Services,Equity,0.5%
Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
Tata Power Company Ltd.,Energy,Equity,0.5%
Tech Mahindra Ltd.,Technology,Equity,0.4%
Siemens Ltd.,Capital Goods,Equity,0.4%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.4%
Tata Motors Ltd.,Automobile,Equity,0.3%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.3%
Nestle India Ltd.,Consumer Staples,Equity,0.3%
