Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,3.2%
JK Lakshmi Cement Ltd.,Construction,Equity,2.9%
HDFC Bank Ltd.,Financial,Equity,2.7%
Reliance Industries Ltd.,Energy,Equity,2.5%
Axis Bank Ltd.,Financial,Equity,2.5%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,2.4%
United Breweries Ltd.,Consumer Staples,Equity,2.3%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.2%
Bosch Ltd.,Automobile,Equity,2.2%
Canara Bank,Financial,Equity,1.9%
The Ramco Cements Ltd.,Construction,Equity,1.9%
Cyient Ltd.,Technology,Equity,1.9%
Tata Consultancy Services Ltd.,Technology,Equity,1.9%
Infosys Ltd.,Technology,Equity,1.9%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.9%
Bank Of Baroda,Financial,Equity,1.9%
Larsen & Toubro Ltd.,Construction,Equity,1.8%
LIC Housing Finance Ltd.,Financial,Equity,1.8%
Ipca Laboratories Ltd.,Healthcare,Equity,1.8%
Avanti Feeds Ltd.,Consumer Staples,Equity,1.8%
EIH Ltd.,Services,Equity,1.8%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.8%
Greenply Industries Ltd.,Consumer Staples,Equity,1.7%
Automotive Axles Ltd.,Automobile,Equity,1.7%
PVR Ltd.,Services,Equity,1.6%
Rallis India Ltd.,Chemicals,Equity,1.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.6%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.6%
Metro Brands Ltd.,Consumer Staples,Equity,1.6%
HDFC Life Insurance Co Ltd.,Insurance,Equity,1.5%
Bharat Forge Ltd.,Automobile,Equity,1.5%
Gujarat Gas Ltd.,Energy,Equity,1.5%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.5%
Mahindra Lifespace Developers Ltd.,Construction,Equity,1.4%
ITC Ltd.,Consumer Staples,Equity,1.4%
Indusind Bank Ltd.,Financial,Equity,1.4%
Bharti Airtel Ltd.,Communication,Equity,1.4%
Tata Chemicals Ltd.,Chemicals,Equity,1.3%
Grasim Industries Ltd.,Construction,Equity,1.3%
HCL Technologies Ltd.,Technology,Equity,1.3%
Tata Consumer Products Ltd.,Consumer Staples,Equity,1.3%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.3%
Zensar Technologies Ltd.,Technology,Equity,1.3%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.2%
Cummins India Ltd.,Capital Goods,Equity,1.1%
Maruti Suzuki India Ltd.,Automobile,Equity,1.1%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.0%
Laurus Labs Ltd.,Healthcare,Equity,1.0%
V-Mart Retail Ltd.,Services,Equity,1.0%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.0%
Tata Motors Ltd.,Automobile,Equity,1.0%
Radico Khaitan Ltd.,Consumer Staples,Equity,1.0%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,0.9%
Bajaj Finance Ltd.,Financial,Equity,0.9%
Container Corporation Of India Ltd.,Services,Equity,0.9%
VRL Logistics Ltd.,Services,Equity,0.8%
Syrma SGS Technology Ltd.,Capital Goods,Equity,0.8%
Kajaria Ceramics Ltd.,Construction,Equity,0.7%
Finolex Industries Ltd.,Chemicals,Equity,0.6%
Thermax Ltd.,Capital Goods,Equity,0.6%
Keystone Realtors Ltd,Construction,Equity,0.6%
Sapphire Foods India Ltd.,Services,Equity,0.4%
Graphite India Ltd.,Construction,Equity,0.2%
