Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.6%
HDFC Bank Ltd.,Financial,Equity,7.6%
Infosys Ltd.,Technology,Equity,7.3%
State Bank of India,Financial,Equity,4.6%
Ultratech Cement Ltd.,Construction,Equity,3.9%
Axis Bank Ltd.,Financial,Equity,3.8%
Bajaj Finance Ltd.,Financial,Equity,3.7%
UNO Minda Ltd.,Automobile,Equity,3.2%
Mahindra & Mahindra Ltd.,Automobile,Equity,3.0%
Larsen & Toubro Ltd.,Construction,Equity,2.8%
Bharti Airtel Ltd.,Communication,Equity,2.7%
Avenue Supermarts Ltd.,Services,Equity,2.6%
Atul Ltd.,Chemicals,Equity,2.6%
Titan Company Ltd.,Consumer Discretionary,Equity,2.4%
Schaeffler India Ltd.,Capital Goods,Equity,2.2%
Tata Consultancy Services Ltd.,Technology,Equity,2.2%
Asian Paints Ltd.,Chemicals,Equity,2.1%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,2.0%
Fine Organic Industries Ltd.,Chemicals,Equity,2.0%
Tata Motors Ltd.,Automobile,Equity,1.9%
Bharat Electronics Ltd.,Capital Goods,Equity,1.8%
Mphasis Ltd.,Technology,Equity,1.6%
Supreme Industries Ltd.,Chemicals,Equity,1.5%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.5%
3M India Ltd.,Diversified,Equity,1.5%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,1.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.5%
Divi's Laboratories Ltd.,Healthcare,Equity,1.4%
Jubilant FoodWorks Ltd.,Services,Equity,1.4%
Bank Of Baroda,Financial,Equity,1.3%
Cipla Ltd.,Healthcare,Equity,1.2%
United Spirits Ltd.,Consumer Staples,Equity,1.0%
JK Lakshmi Cement Ltd.,Construction,Equity,1.0%
Vardhman Textiles Ltd.,Textiles,Equity,0.9%
Voltas Ltd.,Consumer Discretionary,Equity,0.9%
Nestle India Ltd.,Consumer Staples,Equity,0.7%
Tata Chemicals Ltd.,Chemicals,Equity,0.6%
Bata India Ltd.,Consumer Staples,Equity,0.6%
SH Kelkar And Company Ltd.,Chemicals,Equity,0.6%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.5%
Carborundum Universal Ltd.,Metals & Mining,Equity,0.2%
Poddar Housing and Development Ltd.,Construction,Equity,0.2%
