Name,Sector,Instrument,Assets
Indiabulls Nifty 50 ETF,Financial,Mutual Fund,15.6%
HDFC Bank Ltd.,Financial,Equity,8.3%
Reliance Industries Ltd.,Energy,Equity,7.9%
ICICI Bank Ltd.,Financial,Equity,7.3%
Infosys Ltd.,Technology,Equity,5.4%
Bharti Airtel Ltd.,Communication,Equity,3.8%
State Bank of India,Financial,Equity,3.7%
Larsen & Toubro Ltd.,Construction,Equity,3.0%
Container Corporation Of India Ltd.,Services,Equity,2.8%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.8%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.7%
Axis Bank Ltd.,Financial,Equity,2.4%
GHCL Ltd.,Chemicals,Equity,2.3%
Hero Motocorp Ltd.,Automobile,Equity,2.3%
Bajaj Finance Ltd.,Financial,Equity,2.1%
Ultratech Cement Ltd.,Construction,Equity,2.0%
ITC Ltd.,Consumer Staples,Equity,2.0%
Tata Consultancy Services Ltd.,Technology,Equity,2.0%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.8%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.5%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.5%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.5%
Titan Company Ltd.,Consumer Discretionary,Equity,1.5%
Maruti Suzuki India Ltd.,Automobile,Equity,1.3%
Tata Motors Ltd.,Automobile,Equity,1.3%
Birla Corporation Ltd.,Construction,Equity,1.1%
Bata India Ltd.,Consumer Staples,Equity,1.1%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.0%
EPL Ltd.,Chemicals,Equity,0.9%
HCL Technologies Ltd.,Technology,Equity,0.8%
Britannia Industries Ltd.,Consumer Staples,Equity,0.6%
