Name,Sector,Instrument,Assets
Indian Bank,Financial,Equity,3.0%
Trent Ltd.,Services,Equity,2.9%
Bank Of Baroda,Financial,Equity,2.8%
Sundram Fasteners Ltd.,Capital Goods,Equity,2.6%
Bharat Forge Ltd.,Automobile,Equity,2.5%
Abbott India Ltd.,Healthcare,Equity,2.4%
Persistent Systems Ltd.,Technology,Equity,2.4%
UNO Minda Ltd.,Automobile,Equity,2.3%
ICICI Bank Ltd.,Financial,Equity,2.3%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,2.3%
Craftsman Automation Ltd.,Automobile,Equity,2.2%
United Spirits Ltd.,Consumer Staples,Equity,2.2%
United Breweries Ltd.,Consumer Staples,Equity,2.1%
Vedant Fashions Ltd.,Services,Equity,2.0%
TVS Motor Company Ltd.,Automobile,Equity,1.9%
Coforge Ltd.,Technology,Equity,1.9%
The Indian Hotels Company Ltd.,Services,Equity,1.9%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.9%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.8%
The Federal Bank Ltd.,Financial,Equity,1.8%
Vinati Organics Ltd.,Chemicals,Equity,1.8%
Varun Beverages Ltd.,Consumer Staples,Equity,1.8%
Kei Industries Ltd.,Capital Goods,Equity,1.7%
Ajanta Pharma Ltd.,Healthcare,Equity,1.7%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.7%
Balkrishna Industries Ltd.,Automobile,Equity,1.6%
Devyani International Ltd.,Services,Equity,1.6%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.6%
PI Industries Ltd.,Chemicals,Equity,1.5%
Ashok Leyland Ltd.,Automobile,Equity,1.5%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.5%
JK Cement Ltd.,Construction,Equity,1.5%
Page Industries Ltd.,Textiles,Equity,1.5%
Atul Ltd.,Chemicals,Equity,1.5%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.4%
PNC Infratech Ltd.,Construction,Equity,1.4%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.4%
The Phoenix Mills Ltd.,Construction,Equity,1.4%
NHPC Ltd.,Energy,Equity,1.4%
Kajaria Ceramics Ltd.,Construction,Equity,1.3%
AIA Engineering Ltd.,Metals & Mining,Equity,1.3%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.3%
Escorts Kubota Ltd.,Automobile,Equity,1.3%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.2%
Can Fin Homes Ltd.,Financial,Equity,1.2%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.1%
Navin Fluorine International Ltd.,Chemicals,Equity,1.1%
Max Healthcare Institute Ltd.,Healthcare,Equity,1.1%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.1%
Aavas Financiers Ltd.,Financial,Equity,1.1%
Prestige Estates Projects Ltd.,Construction,Equity,1.1%
Astral Ltd.,Chemicals,Equity,1.0%
Apollo Tyres Ltd.,Automobile,Equity,1.0%
Bank of India,Financial,Equity,1.0%
Sumitomo Chemical India Ltd.,Chemicals,Equity,1.0%
MTAR Technologies Ltd.,Capital Goods,Equity,1.0%
L&T Technology Services Ltd.,Technology,Equity,0.9%
Timken India Ltd.,Capital Goods,Equity,0.7%
Thermax Ltd.,Capital Goods,Equity,0.6%
Ipca Laboratories Ltd.,Healthcare,Equity,0.6%
Metro Brands Ltd.,Consumer Staples,Equity,0.5%
Star Health and Allied Insurance Company Ltd.,Insurance,Equity,0.4%
