Name,Sector,Instrument,Assets
Housing Development Finance Corporation Ltd.,Financial,Equity,10.0%
Infosys Ltd.,Technology,Equity,7.5%
Reliance Industries Ltd.,Energy,Equity,6.3%
ICICI Bank Ltd.,Financial,Equity,6.2%
Axis Bank Ltd.,Financial,Equity,3.3%
Ultratech Cement Ltd.,Construction,Equity,3.0%
LTIMindtree Ltd.,Technology,Equity,2.9%
Avenue Supermarts Ltd.,Services,Equity,2.7%
Kei Industries Ltd.,Capital Goods,Equity,2.6%
Bharti Airtel Ltd.,Communication,Equity,2.5%
Indusind Bank Ltd.,Financial,Equity,2.2%
United Breweries Ltd.,Consumer Staples,Equity,2.2%
Samvardhana Motherson International Ltd.,Automobile,Equity,2.2%
UNO Minda Ltd.,Automobile,Equity,2.1%
Titan Company Ltd.,Consumer Discretionary,Equity,2.0%
NTPC Ltd.,Energy,Equity,2.0%
Bajaj Finance Ltd.,Financial,Equity,1.9%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.9%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.8%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.7%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.6%
Anand Rathi Wealth Ltd.,Financial,Equity,1.6%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.5%
Bank Of Baroda,Financial,Equity,1.5%
MTAR Technologies Ltd.,Capital Goods,Equity,1.5%
Ashok Leyland Ltd.,Automobile,Equity,1.5%
United Spirits Ltd.,Consumer Staples,Equity,1.4%
Kajaria Ceramics Ltd.,Construction,Equity,1.4%
Gujarat State Petronet Ltd.,Energy,Equity,1.4%
Birla Corporation Ltd.,Construction,Equity,1.4%
Syngene International Ltd.,Healthcare,Equity,1.2%
Devyani International Ltd.,Services,Equity,1.1%
VIP Industries Ltd.,Chemicals,Equity,1.1%
L&T Technology Services Ltd.,Technology,Equity,1.1%
Escorts Kubota Ltd.,Automobile,Equity,1.0%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.0%
PB Fintech Ltd.,Services,Equity,1.0%
Nestle India Ltd.,Consumer Staples,Equity,0.9%
GR Infraprojects Ltd.,Construction,Equity,0.9%
HDFC Bank Ltd.,Financial,Equity,0.9%
Vinati Organics Ltd.,Chemicals,Equity,0.9%
Atul Ltd.,Chemicals,Equity,0.9%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,0.8%
Bharat Electronics Ltd.,Capital Goods,Equity,0.8%
Trent Ltd.,Services,Equity,0.8%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.7%
Varun Beverages Ltd.,Consumer Staples,Equity,0.6%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.6%
PI Industries Ltd.,Chemicals,Equity,0.6%
