Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,18.9%
HDFC Bank Ltd.,Financial,Equity,18.3%
Housing Development Finance Corporation Ltd.,Financial,Equity,9.8%
State Bank of India,Financial,Equity,8.2%
Axis Bank Ltd.,Financial,Equity,7.9%
Kotak Mahindra Bank Ltd.,Financial,Equity,7.8%
Bajaj Finance Ltd.,Financial,Equity,4.6%
Bajaj Finserv Ltd.,Financial,Equity,2.1%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.9%
Karur Vysya Bank Ltd.,Financial,Equity,1.8%
Bank Of Baroda,Financial,Equity,1.6%
UTI Asset Management Company Ltd.,Financial,Equity,1.3%
DCB Bank Ltd.,Financial,Equity,1.3%
HDFC Life Insurance Co Ltd.,Insurance,Equity,1.3%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.2%
Shriram Finance Ltd,Financial,Equity,1.0%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.0%
The Federal Bank Ltd.,Financial,Equity,1.0%
Max Financial Services Ltd.,Financial,Equity,1.0%
City Union Bank Ltd.,Financial,Equity,0.9%
Can Fin Homes Ltd.,Financial,Equity,0.8%
Power Finance Corporation Ltd.,Financial,Equity,0.8%
The Karnataka Bank Ltd.,Financial,Equity,0.6%
