Name,Sector,Instrument,Assets
Reliance Industries Ltd.,Energy,Equity,7.9%
HDFC Bank Ltd.,Financial,Equity,7.6%
ICICI Bank Ltd.,Financial,Equity,7.0%
Infosys Ltd.,Technology,Equity,6.0%
ITC Ltd.,Consumer Staples,Equity,5.7%
Axis Bank Ltd.,Financial,Equity,4.8%
State Bank of India,Financial,Equity,4.1%
Kotak Mahindra Bank Ltd.,Financial,Equity,3.0%
Titan Company Ltd.,Consumer Discretionary,Equity,2.9%
Larsen & Toubro Ltd.,Construction,Equity,2.8%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.5%
Bharti Airtel Ltd.,Communication,Equity,2.5%
NTPC Ltd.,Energy,Equity,2.2%
Dabur India Ltd.,Consumer Staples,Equity,2.0%
Maruti Suzuki India Ltd.,Automobile,Equity,1.9%
Coal India Ltd.,Energy,Equity,1.8%
Bank Of Baroda,Financial,Equity,1.8%
Tata Consultancy Services Ltd.,Technology,Equity,1.7%
Indusind Bank Ltd.,Financial,Equity,1.6%
HCL Technologies Ltd.,Technology,Equity,1.5%
Ambuja Cements Ltd.,Construction,Equity,1.5%
HDFC Life Insurance Co Ltd.,Insurance,Equity,1.5%
Hindustan Zinc Ltd.,Metals & Mining,Equity,1.4%
Avenue Supermarts Ltd.,Services,Equity,1.4%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.3%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.3%
Bajaj Finance Ltd.,Financial,Equity,1.3%
The Karnataka Bank Ltd.,Financial,Equity,1.2%
Canara Bank,Financial,Equity,1.1%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.1%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.1%
LTIMindtree Ltd.,Technology,Equity,1.1%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.0%
Power Grid Corporation Of India Ltd.,Energy,Equity,1.0%
Eicher Motors Ltd.,Automobile,Equity,1.0%
Interglobe Aviation Ltd.,Services,Equity,1.0%
Grasim Industries Ltd.,Construction,Equity,1.0%
PI Industries Ltd.,Chemicals,Equity,0.9%
Tech Mahindra Ltd.,Technology,Equity,0.9%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.9%
Bharat Electronics Ltd.,Capital Goods,Equity,0.7%
Cipla Ltd.,Healthcare,Equity,0.7%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,0.7%
DLF Ltd. - (DLF),Construction,Equity,0.5%
UPL Ltd.,Chemicals,Equity,0.5%
Pidilite Industries Ltd.,Chemicals,Equity,0.5%
