Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,3.7%
Reliance Industries Ltd.,Energy,Equity,3.6%
ICICI Bank Ltd.,Financial,Equity,3.3%
Infosys Ltd.,Technology,Equity,3.0%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,2.5%
ITC Ltd.,Consumer Staples,Equity,2.4%
State Bank of India,Financial,Equity,1.9%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.6%
Karur Vysya Bank Ltd.,Financial,Equity,1.6%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.6%
Maruti Suzuki India Ltd.,Automobile,Equity,1.6%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.5%
KPIT Technologies Ltd.,Technology,Equity,1.5%
Max Financial Services Ltd.,Financial,Equity,1.4%
Canara Bank,Financial,Equity,1.4%
Bharti Airtel Ltd.,Communication,Equity,1.4%
Bank Of Baroda,Financial,Equity,1.4%
Axis Bank Ltd.,Financial,Equity,1.4%
NTPC Ltd.,Energy,Equity,1.3%
Larsen & Toubro Ltd.,Construction,Equity,1.3%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.3%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.3%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.2%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.2%
Jindal Stainless (Hisar) Ltd.,Metals & Mining,Equity,1.2%
Tata Consultancy Services Ltd.,Technology,Equity,1.2%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.1%
The Federal Bank Ltd.,Financial,Equity,1.1%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.1%
DCB Bank Ltd.,Financial,Equity,1.1%
Bharat Dynamics Ltd.,Capital Goods,Equity,1.0%
Timken India Ltd.,Capital Goods,Equity,1.0%
The Indian Hotels Company Ltd.,Services,Equity,1.0%
Blue Dart Express Ltd.,Services,Equity,1.0%
TVS Motor Company Ltd.,Automobile,Equity,1.0%
Bosch Ltd.,Automobile,Equity,1.0%
L&T Technology Services Ltd.,Technology,Equity,1.0%
Cummins India Ltd.,Capital Goods,Equity,1.0%
Indusind Bank Ltd.,Financial,Equity,1.0%
Aster DM Healthcare Ltd.,Healthcare,Equity,1.0%
IDFC Ltd.,Financial,Equity,1.0%
Bajaj Finance Ltd.,Financial,Equity,1.0%
Siemens Ltd.,Capital Goods,Equity,1.0%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.9%
PI Industries Ltd.,Chemicals,Equity,0.9%
Syrma SGS Technology Ltd.,Capital Goods,Equity,0.9%
Coal India Ltd.,Energy,Equity,0.9%
Asahi India Glass Ltd.,Construction,Equity,0.9%
AIA Engineering Ltd.,Metals & Mining,Equity,0.9%
Titan Company Ltd.,Consumer Discretionary,Equity,0.9%
Tech Mahindra Ltd.,Technology,Equity,0.9%
Wonderla Holidays Ltd.,Services,Equity,0.9%
CCL Products (India) Ltd.,Consumer Staples,Equity,0.9%
UTI Asset Management Company Ltd.,Financial,Equity,0.9%
Page Industries Ltd.,Textiles,Equity,0.9%
Prestige Estates Projects Ltd.,Construction,Equity,0.9%
Ultratech Cement Ltd.,Construction,Equity,0.9%
Ambuja Cements Ltd.,Construction,Equity,0.9%
La Opala RG Ltd.,Construction,Equity,0.9%
NLC India Ltd.,Energy,Equity,0.9%
Redington Ltd.,Services,Equity,0.9%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.9%
Grasim Industries Ltd.,Construction,Equity,0.9%
JTL Industries Ltd,Metals & Mining,Equity,0.8%
Emami Ltd.,Consumer Staples,Equity,0.8%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.8%
City Union Bank Ltd.,Financial,Equity,0.8%
Solar Industries India Ltd.,Chemicals,Equity,0.8%
Data Patterns (India) Ltd.,Capital Goods,Equity,0.8%
PNC Infratech Ltd.,Construction,Equity,0.8%
Bharat Electronics Ltd.,Capital Goods,Equity,0.8%
Cera Sanitaryware Ltd.,Construction,Equity,0.7%
MTAR Technologies Ltd.,Capital Goods,Equity,0.7%
Bajaj Finserv Ltd.,Financial,Equity,0.7%
TTK Prestige Ltd.,Consumer Discretionary,Equity,0.7%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.7%
Eicher Motors Ltd.,Automobile,Equity,0.7%
Astec Lifesciences Ltd.,Chemicals,Equity,0.7%
PB Fintech Ltd.,Services,Equity,0.6%
Taj GVK Hotels & Resorts Ltd.,Services,Equity,0.6%
Sapphire Foods India Ltd.,Services,Equity,0.6%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.5%
The Karnataka Bank Ltd.,Financial,Equity,0.5%
Triveni Engineering & Industries Ltd.,Consumer Staples,Equity,0.5%
ABB India Ltd.,Capital Goods,Equity,0.5%
