Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,22.7%
Cipla Ltd.,Healthcare,Equity,9.0%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,7.3%
Divi's Laboratories Ltd.,Healthcare,Equity,6.7%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,6.7%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,6.6%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,3.4%
Astec Lifesciences Ltd.,Chemicals,Equity,2.9%
Alkem Laboratories Ltd.,Healthcare,Equity,2.8%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,2.5%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,2.4%
Fortis Healthcare Ltd.,Healthcare,Equity,2.3%
Ajanta Pharma Ltd.,Healthcare,Equity,2.1%
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,2.1%
FDC Ltd.,Healthcare,Equity,2.0%
Aster DM Healthcare Ltd.,Healthcare,Equity,1.9%
Zydus Lifesciences Ltd.,Healthcare,Equity,1.9%
Ipca Laboratories Ltd.,Healthcare,Equity,1.9%
Max Healthcare Institute Ltd.,Healthcare,Equity,1.8%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,1.6%
Syngene International Ltd.,Healthcare,Equity,1.5%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.4%
Ami Organics Ltd.,Healthcare,Equity,1.1%
Natco Pharma Ltd.,Healthcare,Equity,1.0%
Healthcare Global Enterprises Ltd.,Healthcare,Equity,1.0%
TTK Healthcare Ltd.,Healthcare,Equity,0.8%
Advanced Enzyme Technologies Ltd.,Chemicals,Equity,0.7%
Abbott India Ltd.,Healthcare,Equity,0.6%
