Name,Sector,Instrument,Assets
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,2.8%
Karur Vysya Bank Ltd.,Financial,Equity,2.5%
Blue Dart Express Ltd.,Services,Equity,1.9%
Bharat Dynamics Ltd.,Capital Goods,Equity,1.7%
DCB Bank Ltd.,Financial,Equity,1.7%
Jindal Stainless (Hisar) Ltd.,Metals & Mining,Equity,1.7%
Infosys Ltd.,Technology,Equity,1.7%
Ingersoll-Rand (India) Ltd.,Capital Goods,Equity,1.7%
Timken India Ltd.,Capital Goods,Equity,1.7%
NCC Ltd.,Construction,Equity,1.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.6%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.6%
Jindal Stainless Ltd.,Metals & Mining,Equity,1.5%
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,Equity,1.5%
City Union Bank Ltd.,Financial,Equity,1.5%
IDFC Ltd.,Financial,Equity,1.5%
HDFC Bank Ltd.,Financial,Equity,1.5%
UTI Asset Management Company Ltd.,Financial,Equity,1.4%
Taj GVK Hotels & Resorts Ltd.,Services,Equity,1.4%
Blue Star Ltd.,Consumer Discretionary,Equity,1.3%
KPIT Technologies Ltd.,Technology,Equity,1.3%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.3%
Apollo Tyres Ltd.,Automobile,Equity,1.3%
Coal India Ltd.,Energy,Equity,1.3%
Astec Lifesciences Ltd.,Chemicals,Equity,1.3%
KSB Ltd.,Capital Goods,Equity,1.3%
Redington Ltd.,Services,Equity,1.2%
The Federal Bank Ltd.,Financial,Equity,1.2%
Global Health Ltd.,Healthcare,Equity,1.2%
Cyient Ltd.,Technology,Equity,1.1%
ITC Ltd.,Consumer Staples,Equity,1.1%
Computer Age Management Services Ltd.,Services,Equity,1.1%
Aster DM Healthcare Ltd.,Healthcare,Equity,1.1%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.1%
Patanjali Foods Ltd.,Consumer Staples,Equity,1.1%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.1%
CreditAccess Grameen Ltd.,Financial,Equity,1.1%
Mayur Uniquoters Ltd.,Textiles,Equity,1.1%
Maruti Suzuki India Ltd.,Automobile,Equity,1.1%
Central Depository Services (India) Ltd.,Financial,Equity,1.1%
Delta Corp Ltd.,Services,Equity,1.1%
Birlasoft Ltd.,Technology,Equity,1.1%
PNC Infratech Ltd.,Construction,Equity,1.1%
Gokaldas Exports Ltd.,Textiles,Equity,1.1%
Automotive Axles Ltd.,Automobile,Equity,1.1%
JK Lakshmi Cement Ltd.,Construction,Equity,1.0%
KNR Constructions Ltd.,Construction,Equity,1.0%
CESC Ltd.,Energy,Equity,1.0%
Sundram Fasteners Ltd.,Capital Goods,Equity,1.0%
La Opala RG Ltd.,Construction,Equity,1.0%
Birla Corporation Ltd.,Construction,Equity,1.0%
Ami Organics Ltd.,Healthcare,Equity,1.0%
Brigade Enterprises Ltd.,Construction,Equity,1.0%
JTL Industries Ltd,Metals & Mining,Equity,1.0%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.0%
Laxmi Organic Industries Ltd.,Chemicals,Equity,1.0%
Home First Finance Company India Ltd.,Financial,Equity,1.0%
MTAR Technologies Ltd.,Capital Goods,Equity,1.0%
K.P.R. Mill Ltd.,Textiles,Equity,1.0%
Route Mobile Ltd.,Technology,Equity,1.0%
Exide Industries Ltd.,Capital Goods,Equity,1.0%
Praj Industries Ltd.,Capital Goods,Equity,0.9%
Wonderla Holidays Ltd.,Services,Equity,0.9%
Radico Khaitan Ltd.,Consumer Staples,Equity,0.9%
Punjab Chemicals & Crop Protection Ltd.,Chemicals,Equity,0.9%
PCBL Ltd.,Chemicals,Equity,0.9%
Tata Coffee Ltd.,Consumer Staples,Equity,0.9%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.9%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.9%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,0.9%
TTK Prestige Ltd.,Consumer Discretionary,Equity,0.9%
VRL Logistics Ltd.,Services,Equity,0.9%
Equitas Holdings Ltd.,Financial,Equity,0.8%
Suprajit Engineering Ltd.,Automobile,Equity,0.7%
The Karnataka Bank Ltd.,Financial,Equity,0.7%
Sapphire Foods India Ltd.,Services,Equity,0.7%
Bank Of Baroda,Financial,Equity,0.6%
BASF India Ltd.,Chemicals,Equity,0.6%
Syrma SGS Technology Ltd.,Capital Goods,Equity,0.6%
Raymond Ltd.,Textiles,Equity,0.5%
Kirloskar Oil Engines Ltd.,Capital Goods,Equity,0.5%
ITI Dynamic Bond Fund Direct - Growth,Financial,Mutual Fund,0.5%
Quess Corp Ltd.,Financial,Equity,0.5%
TV Today Network Ltd.,Services,Equity,0.5%
