Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.2%
Infosys Ltd.,Technology,Equity,6.1%
Axis Bank Ltd.,Financial,Equity,4.9%
ICICI Bank Ltd.,Financial,Equity,4.7%
Ultratech Cement Ltd.,Construction,Equity,3.9%
State Bank of India,Financial,Equity,3.4%
Larsen & Toubro Ltd.,Construction,Equity,3.3%
Indian Oil Corporation Ltd.,Energy,Equity,3.0%
Reliance Industries Ltd.,Energy,Equity,3.0%
Gujarat Gas Ltd.,Energy,Equity,2.9%
SRF Ltd.,Diversified,Equity,2.8%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,2.7%
Trent Ltd.,Services,Equity,2.6%
Titan Company Ltd.,Consumer Discretionary,Equity,2.5%
SKF India Ltd.,Capital Goods,Equity,2.4%
Pidilite Industries Ltd.,Chemicals,Equity,2.4%
Maruti Suzuki India Ltd.,Automobile,Equity,2.3%
United Spirits Ltd.,Consumer Staples,Equity,2.3%
Bank Of Baroda,Financial,Equity,2.2%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.2%
Power Finance Corporation Ltd.,Financial,Equity,2.2%
Fortis Healthcare Ltd.,Healthcare,Equity,2.1%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.0%
Cummins India Ltd.,Capital Goods,Equity,1.9%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.9%
L&T Technology Services Ltd.,Technology,Equity,1.8%
Navin Fluorine International Ltd.,Chemicals,Equity,1.8%
Cipla Ltd.,Healthcare,Equity,1.8%
The Indian Hotels Company Ltd.,Services,Equity,1.7%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.6%
JK Cement Ltd.,Construction,Equity,1.5%
Jubilant FoodWorks Ltd.,Services,Equity,1.5%
Blue Star Ltd.,Consumer Discretionary,Equity,1.4%
Vardhman Textiles Ltd.,Textiles,Equity,1.4%
Varun Beverages Ltd.,Consumer Staples,Equity,1.3%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.2%
One97 Communications Ltd.,Services,Equity,1.0%
ABB India Ltd.,Capital Goods,Equity,0.9%
