Name,Sector,Instrument,Assets
Supreme Industries Ltd.,Chemicals,Equity,4.2%
Schaeffler India Ltd.,Capital Goods,Equity,3.8%
Solar Industries India Ltd.,Chemicals,Equity,3.6%
Cummins India Ltd.,Capital Goods,Equity,3.5%
SKF India Ltd.,Capital Goods,Equity,3.2%
PI Industries Ltd.,Chemicals,Equity,3.1%
Persistent Systems Ltd.,Technology,Equity,3.0%
Kajaria Ceramics Ltd.,Construction,Equity,2.7%
Thermax Ltd.,Capital Goods,Equity,2.6%
Atul Ltd.,Chemicals,Equity,2.6%
Coromandel International Ltd.,Chemicals,Equity,2.5%
Oberoi Realty Ltd.,Construction,Equity,2.4%
Bharat Electronics Ltd.,Capital Goods,Equity,2.3%
JK Cement Ltd.,Construction,Equity,2.3%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,2.2%
Ipca Laboratories Ltd.,Healthcare,Equity,2.1%
Bharat Forge Ltd.,Automobile,Equity,2.0%
Sheela Foam Ltd.,Consumer Discretionary,Equity,1.8%
Bata India Ltd.,Consumer Staples,Equity,1.8%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.8%
SRF Ltd.,Diversified,Equity,1.8%
The Federal Bank Ltd.,Financial,Equity,1.7%
ICICI Bank Ltd.,Financial,Equity,1.7%
Sundaram Finance Ltd.,Financial,Equity,1.6%
AU Small Finance Bank Ltd.,Financial,Equity,1.5%
State Bank of India,Financial,Equity,1.5%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.5%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.4%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.3%
The Ramco Cements Ltd.,Construction,Equity,1.3%
Page Industries Ltd.,Textiles,Equity,1.1%
Vedant Fashions Ltd.,Services,Equity,1.1%
Emami Ltd.,Consumer Staples,Equity,1.1%
MRF Ltd.,Automobile,Equity,1.0%
Max Financial Services Ltd.,Financial,Equity,1.0%
Balkrishna Industries Ltd.,Automobile,Equity,1.0%
Axis Bank Ltd.,Financial,Equity,1.0%
Voltas Ltd.,Consumer Discretionary,Equity,1.0%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.0%
V-Guard Industries Ltd.,Consumer Discretionary,Equity,0.9%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.9%
Blue Star Ltd.,Consumer Discretionary,Equity,0.9%
Zydus Lifesciences Ltd.,Healthcare,Equity,0.8%
Amber Enterprises India Ltd.,Consumer Discretionary,Equity,0.8%
Tata Consumer Products Ltd.,Consumer Staples,Equity,0.8%
Metro Brands Ltd.,Consumer Staples,Equity,0.7%
Exide Industries Ltd.,Capital Goods,Equity,0.7%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.7%
City Union Bank Ltd.,Financial,Equity,0.6%
Shriram Finance Ltd,Financial,Equity,0.6%
Lux Industries Ltd.,Textiles,Equity,0.5%
Shree Cement Ltd.,Construction,Equity,0.5%
Hawkins Cookers Ltd.,Consumer Discretionary,Equity,0.5%
Gland Pharma Ltd.,Healthcare,Equity,0.4%
Samvardhana Motherson International Ltd.,Automobile,Equity,0.4%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.4%
Gujarat State Petronet Ltd.,Energy,Equity,0.4%
Alkem Laboratories Ltd.,Healthcare,Equity,0.4%
Amara Raja Batteries Ltd.,Capital Goods,Equity,0.4%
Kewal Kiran Clothing Ltd.,Textiles,Equity,0.4%
Gujarat Gas Ltd.,Energy,Equity,0.4%
Godrej Agrovet Ltd.,Consumer Staples,Equity,0.3%
Laurus Labs Ltd.,Healthcare,Equity,0.3%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.3%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.3%
PNC Infratech Ltd.,Construction,Equity,0.3%
Life Insurance Corporation of India,Insurance,Equity,0.1%
