Name,Sector,Instrument,Assets
State Bank of India,Financial,Equity,8.4%
ICICI Bank Ltd.,Financial,Equity,7.1%
Infosys Ltd.,Technology,Equity,6.5%
Larsen & Toubro Ltd.,Construction,Equity,5.0%
Tata Consultancy Services Ltd.,Technology,Equity,4.4%
Hindalco Industries Ltd.,Metals & Mining,Equity,4.2%
Bajaj Finance Ltd.,Financial,Equity,4.1%
HDFC Bank Ltd.,Financial,Equity,3.8%
Housing Development Finance Corporation Ltd.,Financial,Equity,3.8%
Axis Bank Ltd.,Financial,Equity,3.4%
Bharti Airtel Ltd.,Communication,Equity,3.2%
Linde India Ltd.,Chemicals,Equity,3.1%
AU Small Finance Bank Ltd.,Financial,Equity,2.9%
Ultratech Cement Ltd.,Construction,Equity,2.8%
Ambuja Cements Ltd.,Construction,Equity,2.7%
Reliance Industries Ltd.,Energy,Equity,2.5%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.2%
Bharat Forge Ltd.,Automobile,Equity,2.1%
Wipro Ltd.,Technology,Equity,2.0%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.9%
Bank Of Baroda,Financial,Equity,1.8%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.7%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.5%
Container Corporation Of India Ltd.,Services,Equity,1.5%
Bajaj Auto Ltd.,Automobile,Equity,1.4%
Interglobe Aviation Ltd.,Services,Equity,1.2%
Cipla Ltd.,Healthcare,Equity,1.2%
VIP Industries Ltd.,Chemicals,Equity,1.2%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.2%
Maruti Suzuki India Ltd.,Automobile,Equity,1.1%
JK Cement Ltd.,Construction,Equity,1.1%
Bosch Ltd.,Automobile,Equity,1.0%
Hero Motocorp Ltd.,Automobile,Equity,1.0%
Kotak Liquid - Plan A - Direct Plan-Growth,Financial,Mutual Fund,0.9%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,0.9%
Abbott India Ltd.,Healthcare,Equity,0.8%
Supreme Industries Ltd.,Chemicals,Equity,0.6%
Divi's Laboratories Ltd.,Healthcare,Equity,0.6%
V-Mart Retail Ltd.,Services,Equity,0.4%
Bata India Ltd.,Consumer Staples,Equity,0.3%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.1%
