Name,Sector,Instrument,Assets
Maruti Suzuki India Ltd.,Automobile,Equity,5.7%
ITC Ltd.,Consumer Staples,Equity,4.1%
Bank Of Baroda,Financial,Equity,3.9%
Reliance Industries Ltd.,Energy,Equity,3.8%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,3.1%
Axis Bank Ltd.,Financial,Equity,2.9%
NTPC Ltd.,Energy,Equity,2.7%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,2.5%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.3%
Power Finance Corporation Ltd.,Financial,Equity,2.3%
Indian Bank,Financial,Equity,2.2%
Max Healthcare Institute Ltd.,Healthcare,Equity,2.1%
The Federal Bank Ltd.,Financial,Equity,2.1%
Indusind Bank Ltd.,Financial,Equity,2.1%
City Union Bank Ltd.,Financial,Equity,2.0%
Kansai Nerolac Paints Ltd.,Chemicals,Equity,2.0%
Ambuja Cements Ltd.,Construction,Equity,1.9%
Hero Motocorp Ltd.,Automobile,Equity,1.9%
United Breweries Ltd.,Consumer Staples,Equity,1.9%
Tata Chemicals Ltd.,Chemicals,Equity,1.8%
Persistent Systems Ltd.,Technology,Equity,1.7%
GAIL (India) Ltd.,Energy,Equity,1.7%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.7%
Navneet Education Ltd.,Consumer Staples,Equity,1.6%
Shriram Finance Ltd,Financial,Equity,1.6%
United Spirits Ltd.,Consumer Staples,Equity,1.6%
Infosys Ltd.,Technology,Equity,1.5%
HCL Technologies Ltd.,Technology,Equity,1.4%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.4%
Kotak Liquid - Plan A - Direct Plan-Growth,Financial,Mutual Fund,1.4%
Firstsource Solutions Ltd.,Services,Equity,1.3%
Emami Ltd.,Consumer Staples,Equity,1.3%
Fortis Healthcare Ltd.,Healthcare,Equity,1.3%
KNR Constructions Ltd.,Construction,Equity,1.3%
HDFC Bank Ltd.,Financial,Equity,1.3%
Heritage Foods Ltd.,Consumer Staples,Equity,1.3%
Pokarna Ltd.,Construction,Equity,1.3%
Rolex Rings Ltd,Capital Goods,Equity,1.1%
Alkem Laboratories Ltd.,Healthcare,Equity,1.1%
INOX Leisure Ltd.,Services,Equity,1.1%
Bharti Airtel Ltd.,Communication,Equity,1.0%
PNC Infratech Ltd.,Construction,Equity,1.0%
Tech Mahindra Ltd.,Technology,Equity,1.0%
Subros Ltd.,Automobile,Equity,1.0%
Max Financial Services Ltd.,Financial,Equity,0.9%
Mahindra Lifespace Developers Ltd.,Construction,Equity,0.9%
Sapphire Foods India Ltd.,Services,Equity,0.9%
Jubilant FoodWorks Ltd.,Services,Equity,0.9%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.9%
Bata India Ltd.,Consumer Staples,Equity,0.9%
State Bank of India,Financial,Equity,0.9%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.8%
Bharat Electronics Ltd.,Capital Goods,Equity,0.8%
Ashoka Buildcon Ltd.,Construction,Equity,0.7%
Karur Vysya Bank Ltd.,Financial,Equity,0.6%
Eris Lifesciences Ltd.,Healthcare,Equity,0.6%
ICICI Bank Ltd.,Financial,Equity,0.5%
The South Indian Bank Ltd.,Financial,Equity,0.5%
Prataap Snacks Ltd.,Consumer Staples,Equity,0.3%
Barbeque-Nation Hospitality Ltd.,Services,Equity,0.3%
JK Cement Ltd.,Construction,Equity,0.1%
