Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,7.3%
State Bank of India,Financial,Equity,5.8%
Axis Bank Ltd.,Financial,Equity,5.3%
Reliance Industries Ltd.,Energy,Equity,4.0%
Infosys Ltd.,Technology,Equity,3.8%
Larsen & Toubro Ltd.,Construction,Equity,3.8%
ITC Ltd.,Consumer Staples,Equity,3.3%
Maruti Suzuki India Ltd.,Automobile,Equity,3.0%
SRF Ltd.,Diversified,Equity,2.6%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,2.5%
Ambuja Cements Ltd.,Construction,Equity,2.3%
HDFC Bank Ltd.,Financial,Equity,2.3%
Tata Consultancy Services Ltd.,Technology,Equity,2.3%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.2%
Linde India Ltd.,Chemicals,Equity,2.2%
Bank Of Baroda,Financial,Equity,2.1%
Bajaj Finance Ltd.,Financial,Equity,2.0%
United Spirits Ltd.,Consumer Staples,Equity,1.9%
Cummins India Ltd.,Capital Goods,Equity,1.9%
Bharti Airtel Ltd.,Communication,Equity,1.8%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.8%
ABB India Ltd.,Capital Goods,Equity,1.6%
AU Small Finance Bank Ltd.,Financial,Equity,1.6%
Ultratech Cement Ltd.,Construction,Equity,1.4%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.4%
Thermax Ltd.,Capital Goods,Equity,1.4%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,1.2%
NTPC Ltd.,Energy,Equity,1.2%
Exide Industries Ltd.,Capital Goods,Equity,1.1%
JMC Projects (India) Ltd.,Construction,Equity,1.1%
Bharat Forge Ltd.,Automobile,Equity,1.1%
Coromandel International Ltd.,Chemicals,Equity,1.1%
SKF India Ltd.,Capital Goods,Equity,1.1%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.1%
Solar Industries India Ltd.,Chemicals,Equity,1.0%
Cipla Ltd.,Healthcare,Equity,1.0%
Blue Dart Express Ltd.,Services,Equity,1.0%
Blue Star Ltd.,Consumer Discretionary,Equity,1.0%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.0%
Kansai Nerolac Paints Ltd.,Chemicals,Equity,1.0%
Ashok Leyland Ltd.,Automobile,Equity,0.9%
Balkrishna Industries Ltd.,Automobile,Equity,0.9%
Gujarat State Petronet Ltd.,Energy,Equity,0.9%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.9%
Zydus Lifesciences Ltd.,Healthcare,Equity,0.8%
Container Corporation Of India Ltd.,Services,Equity,0.8%
Bajaj Auto Ltd.,Automobile,Equity,0.8%
Bajaj Finserv Ltd.,Financial,Equity,0.7%
V-Guard Industries Ltd.,Consumer Discretionary,Equity,0.7%
Sheela Foam Ltd.,Consumer Discretionary,Equity,0.6%
Tata Chemicals Ltd.,Chemicals,Equity,0.4%
Ashoka Buildcon Ltd.,Construction,Equity,0.4%
Archean Chemical Industries Ltd.,Chemicals,Equity,0.4%
Prudent Corporate Advisory Services Ltd.,Financial,Equity,0.4%
Bata India Ltd.,Consumer Staples,Equity,0.4%
Hawkins Cookers Ltd.,Consumer Discretionary,Equity,0.4%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.3%
