Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.7%
ICICI Bank Ltd.,Financial,Equity,8.9%
Infosys Ltd.,Technology,Equity,7.4%
Reliance Industries Ltd.,Energy,Equity,5.9%
Axis Bank Ltd.,Financial,Equity,4.5%
Tata Consultancy Services Ltd.,Technology,Equity,3.9%
Kotak Mahindra Bank Ltd.,Financial,Equity,3.5%
State Bank of India,Financial,Equity,3.5%
Mahindra & Mahindra Ltd.,Automobile,Equity,3.3%
Titan Company Ltd.,Consumer Discretionary,Equity,2.7%
Avenue Supermarts Ltd.,Services,Equity,2.6%
Larsen & Toubro Ltd.,Construction,Equity,2.6%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,2.6%
Maruti Suzuki India Ltd.,Automobile,Equity,2.5%
Bajaj Finance Ltd.,Financial,Equity,2.4%
SRF Ltd.,Diversified,Equity,2.4%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.3%
Bajaj Finserv Ltd.,Financial,Equity,2.3%
Dabur India Ltd.,Consumer Staples,Equity,1.9%
Ultratech Cement Ltd.,Construction,Equity,1.9%
Bharti Airtel Ltd.,Communication,Equity,1.7%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.7%
Bajaj Holdings & Investment Ltd.,Financial,Equity,1.7%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.6%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.6%
Asian Paints Ltd.,Chemicals,Equity,1.4%
HCL Technologies Ltd.,Technology,Equity,1.2%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.1%
Nestle India Ltd.,Consumer Staples,Equity,1.1%
Eicher Motors Ltd.,Automobile,Equity,1.0%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.9%
Grasim Industries Ltd.,Construction,Equity,0.8%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.8%
Shree Cement Ltd.,Construction,Equity,0.7%
SBI Cards And Payment Services Ltd.,Financial,Equity,0.7%
United Spirits Ltd.,Consumer Staples,Equity,0.6%
Tata Steel Ltd.,Metals & Mining,Equity,0.6%
Tata Consumer Products Ltd.,Consumer Staples,Equity,0.5%
Life Insurance Corporation of India,Insurance,Equity,0.5%
Mphasis Ltd.,Technology,Equity,0.5%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.1%
