Name,Sector,Instrument,Assets
Transport Corporation Of India Ltd.,Services,Equity,6.5%
KSB Ltd.,Capital Goods,Equity,5.8%
Ultratech Cement Ltd.,Construction,Equity,5.5%
Bharti Airtel Ltd.,Communication,Equity,4.7%
Hitachi Energy India Ltd.,Capital Goods,Equity,4.7%
SKF India Ltd.,Capital Goods,Equity,4.3%
Reliance Industries Ltd.,Energy,Equity,3.8%
Kennametal India Ltd.,Capital Goods,Equity,3.7%
Ashoka Buildcon Ltd.,Construction,Equity,3.6%
Blue Dart Express Ltd.,Services,Equity,3.5%
Container Corporation Of India Ltd.,Services,Equity,3.3%
Bharat Forge Ltd.,Automobile,Equity,3.2%
Gujarat State Petronet Ltd.,Energy,Equity,3.2%
MM Forgings Ltd.,Metals & Mining,Equity,3.1%
Timken India Ltd.,Capital Goods,Equity,3.1%
Larsen & Toubro Ltd.,Construction,Equity,3.0%
Pitti Engineering Ltd.,Capital Goods,Equity,2.8%
Cummins India Ltd.,Capital Goods,Equity,2.7%
Lakshmi Machine Works Ltd.,Capital Goods,Equity,2.5%
KNR Constructions Ltd.,Construction,Equity,2.5%
Carborundum Universal Ltd.,Metals & Mining,Equity,2.2%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.1%
Bharat Electronics Ltd.,Capital Goods,Equity,1.9%
Bharat Bijlee Ltd.,Capital Goods,Equity,1.5%
Puravankara Ltd.,Construction,Equity,1.5%
Craftsman Automation Ltd.,Automobile,Equity,1.5%
Bajaj Electricals Ltd.,Consumer Discretionary,Equity,1.4%
Gateway Distriparks Ltd.,Services,Equity,1.3%
Kei Industries Ltd.,Capital Goods,Equity,1.0%
Bharat Dynamics Ltd.,Capital Goods,Equity,1.0%
Kirloskar Oil Engines Ltd.,Capital Goods,Equity,0.9%
Indraprastha Gas Ltd.,Energy,Equity,0.8%
3M India Ltd.,Diversified,Equity,0.8%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,0.7%
Kirloskar Brothers Ltd.,Capital Goods,Equity,0.5%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.3%
