Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.4%
Axis Bank Ltd.,Financial,Equity,6.9%
HDFC Bank Ltd.,Financial,Equity,5.1%
Infosys Ltd.,Technology,Equity,4.9%
Mahindra & Mahindra Ltd.,Automobile,Equity,3.7%
Titan Company Ltd.,Consumer Discretionary,Equity,3.1%
Bajaj Finance Ltd.,Financial,Equity,3.0%
SRF Ltd.,Diversified,Equity,2.7%
Trent Ltd.,Services,Equity,2.7%
The Indian Hotels Company Ltd.,Services,Equity,2.6%
Schaeffler India Ltd.,Capital Goods,Equity,2.5%
ITC Ltd.,Consumer Staples,Equity,2.4%
Craftsman Automation Ltd.,Automobile,Equity,2.2%
Avenue Supermarts Ltd.,Services,Equity,2.1%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.1%
Metro Brands Ltd.,Consumer Staples,Equity,2.0%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.0%
KPIT Technologies Ltd.,Technology,Equity,2.0%
Maruti Suzuki India Ltd.,Automobile,Equity,2.0%
Timken India Ltd.,Capital Goods,Equity,1.9%
Varun Beverages Ltd.,Consumer Staples,Equity,1.9%
Navin Fluorine International Ltd.,Chemicals,Equity,1.9%
Blue Star Ltd.,Consumer Discretionary,Equity,1.8%
Bajaj Finserv Ltd.,Financial,Equity,1.8%
Blue Dart Express Ltd.,Services,Equity,1.7%
Tata Consumer Products Ltd.,Consumer Staples,Equity,1.7%
Tata Elxsi Ltd.,Technology,Equity,1.7%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.7%
Page Industries Ltd.,Textiles,Equity,1.6%
Cipla Ltd.,Healthcare,Equity,1.6%
Bharti Airtel Ltd.,Communication,Equity,1.5%
Cummins India Ltd.,Capital Goods,Equity,1.4%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.2%
Eicher Motors Ltd.,Automobile,Equity,1.1%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.1%
The Federal Bank Ltd.,Financial,Equity,1.1%
Cera Sanitaryware Ltd.,Construction,Equity,1.1%
Syrma SGS Technology Ltd.,Capital Goods,Equity,1.0%
Safari Industries (India) Ltd.,Chemicals,Equity,0.8%
KSB Ltd.,Capital Goods,Equity,0.7%
K.P.R. Mill Ltd.,Textiles,Equity,0.3%
Latent View Analytics Ltd.,Technology,Equity,0.3%
SKF India Ltd.,Capital Goods,Equity,0.2%
