Name,Sector,Instrument,Assets
Bharti Airtel Ltd.,Communication,Equity,7.9%
HDFC Bank Ltd.,Financial,Equity,7.1%
Hindustan Unilever Ltd.,Consumer Staples,Equity,7.0%
United Spirits Ltd.,Consumer Staples,Equity,5.8%
ITC Ltd.,Consumer Staples,Equity,5.8%
Maruti Suzuki India Ltd.,Automobile,Equity,4.7%
Nestle India Ltd.,Consumer Staples,Equity,3.8%
Mahindra & Mahindra Ltd.,Automobile,Equity,3.5%
Westlife Foodworld Ltd,Services,Equity,3.1%
Asian Paints Ltd.,Chemicals,Equity,2.9%
Page Industries Ltd.,Textiles,Equity,2.9%
Trent Ltd.,Services,Equity,2.9%
VIP Industries Ltd.,Chemicals,Equity,2.8%
Metro Brands Ltd.,Consumer Staples,Equity,2.6%
Blue Star Ltd.,Consumer Discretionary,Equity,2.6%
Dabur India Ltd.,Consumer Staples,Equity,2.5%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,2.5%
City Union Bank Ltd.,Financial,Equity,2.4%
Colgate-Palmolive (India) Ltd.,Consumer Staples,Equity,2.4%
Titan Company Ltd.,Consumer Discretionary,Equity,2.3%
Bajaj Finance Ltd.,Financial,Equity,2.3%
Vedant Fashions Ltd.,Services,Equity,2.1%
Eicher Motors Ltd.,Automobile,Equity,1.8%
Kirloskar Oil Engines Ltd.,Capital Goods,Equity,1.7%
Emami Ltd.,Consumer Staples,Equity,1.6%
Patanjali Foods Ltd.,Consumer Staples,Equity,1.6%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,1.5%
Britannia Industries Ltd.,Consumer Staples,Equity,1.5%
ICICI Bank Ltd.,Financial,Equity,1.5%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.4%
Hero Motocorp Ltd.,Automobile,Equity,1.3%
CreditAccess Grameen Ltd.,Financial,Equity,1.2%
TVS Srichakra Ltd.,Automobile,Equity,1.2%
