Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,20.2%
ICICI Bank Ltd.,Financial,Equity,18.0%
Axis Bank Ltd.,Financial,Equity,10.3%
State Bank of India,Financial,Equity,9.3%
Housing Development Finance Corporation Ltd.,Financial,Equity,6.3%
Kotak Mahindra Bank Ltd.,Financial,Equity,4.0%
The Federal Bank Ltd.,Financial,Equity,3.6%
SBI Life Insurance Company Ltd.,Insurance,Equity,3.5%
Shriram Finance Ltd,Financial,Equity,2.8%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.7%
Bajaj Finserv Ltd.,Financial,Equity,2.7%
Fusion Micro Finance Ltd.,Financial,Equity,1.8%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.7%
Power Finance Corporation Ltd.,Financial,Equity,1.5%
Can Fin Homes Ltd.,Financial,Equity,1.5%
Max Financial Services Ltd.,Financial,Equity,1.5%
CreditAccess Grameen Ltd.,Financial,Equity,1.5%
Five-Star Business Finance Ltd.,Financial,Equity,1.2%
Canara Bank,Financial,Equity,1.2%
KFin Technologies Ltd.,Financial,Equity,1.1%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.0%
UTI Asset Management Company Ltd.,Financial,Equity,0.9%
Bank Of Baroda,Financial,Equity,0.4%
Equitas Holdings Ltd.,Financial,Equity,0.4%
One97 Communications Ltd.,Services,Equity,0.1%
