Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,5.9%
ICICI Bank Ltd.,Financial,Equity,4.8%
Axis Bank Ltd.,Financial,Equity,4.5%
Reliance Industries Ltd.,Energy,Equity,3.8%
Infosys Ltd.,Technology,Equity,3.8%
State Bank of India,Financial,Equity,3.7%
SKF India Ltd.,Capital Goods,Equity,2.7%
Bharat Forge Ltd.,Automobile,Equity,2.7%
Larsen & Toubro Ltd.,Construction,Equity,2.2%
Gujarat State Petronet Ltd.,Energy,Equity,2.2%
Shriram Finance Ltd,Financial,Equity,2.1%
JK Cement Ltd.,Construction,Equity,2.1%
Bharti Airtel Ltd.,Communication,Equity,2.0%
NTPC Ltd.,Energy,Equity,1.8%
Tata Consultancy Services Ltd.,Technology,Equity,1.7%
Max Financial Services Ltd.,Financial,Equity,1.7%
Emami Ltd.,Consumer Staples,Equity,1.6%
Tata Steel Ltd.,Metals & Mining,Equity,1.6%
The Federal Bank Ltd.,Financial,Equity,1.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.5%
Bayer CropScience Ltd.,Chemicals,Equity,1.4%
Indian Energy Exchange Ltd.,Services,Equity,1.4%
TVS Motor Company Ltd.,Automobile,Equity,1.4%
Balkrishna Industries Ltd.,Automobile,Equity,1.4%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.4%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.4%
HCL Technologies Ltd.,Technology,Equity,1.3%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
Tata Communications Ltd.,Communication,Equity,1.3%
Nuvoco Vistas Corporation Ltd.,Construction,Equity,1.3%
ITC Ltd.,Consumer Staples,Equity,1.2%
Gland Pharma Ltd.,Healthcare,Equity,1.2%
Page Industries Ltd.,Textiles,Equity,1.2%
Power Finance Corporation Ltd.,Financial,Equity,1.1%
Bata India Ltd.,Consumer Staples,Equity,1.1%
Maruti Suzuki India Ltd.,Automobile,Equity,1.1%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.1%
Vinati Organics Ltd.,Chemicals,Equity,1.1%
Ceat Ltd.,Automobile,Equity,1.0%
Havells India Ltd.,Capital Goods,Equity,1.0%
Tata Motors Ltd.,Automobile,Equity,0.9%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,0.9%
Aurobindo Pharma Ltd.,Healthcare,Equity,0.9%
Atul Ltd.,Chemicals,Equity,0.9%
PB Fintech Ltd.,Services,Equity,0.9%
Zomato Ltd.,Services,Equity,0.9%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.9%
National Aluminium Company Ltd.,Metals & Mining,Equity,0.9%
Natco Pharma Ltd.,Healthcare,Equity,0.9%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.9%
LTIMindtree Ltd.,Technology,Equity,0.8%
Prince Pipes and Fittings Ltd.,Chemicals,Equity,0.8%
Ipca Laboratories Ltd.,Healthcare,Equity,0.8%
Gateway Distriparks Ltd.,Services,Equity,0.7%
Chemplast Sanmar Ltd.,Chemicals,Equity,0.7%
Britannia Industries Ltd.,Consumer Staples,Equity,0.7%
Delhivery Ltd.,Services,Equity,0.7%
Voltas Ltd.,Consumer Discretionary,Equity,0.6%
Mphasis Ltd.,Technology,Equity,0.6%
Titan Company Ltd.,Consumer Discretionary,Equity,0.6%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.6%
UTI Asset Management Company Ltd.,Financial,Equity,0.5%
Housing Development Finance Corporation Ltd.,Financial,Equity,0.5%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.5%
Prestige Estates Projects Ltd.,Construction,Equity,0.5%
Dabur India Ltd.,Consumer Staples,Equity,0.5%
Indraprastha Gas Ltd.,Energy,Equity,0.5%
Sapphire Foods India Ltd.,Services,Equity,0.5%
Bharat Electronics Ltd.,Capital Goods,Equity,0.4%
Hindustan Unilever Ltd.,Consumer Staples,Equity,0.4%
Biocon Ltd.,Healthcare,Equity,0.3%
One97 Communications Ltd.,Services,Equity,0.2%
