Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,10.9%
ICICI Bank Ltd.,Financial,Equity,8.5%
Infosys Ltd.,Technology,Equity,7.9%
Axis Bank Ltd.,Financial,Equity,5.6%
Reliance Industries Ltd.,Energy,Equity,5.4%
Bharti Airtel Ltd.,Communication,Equity,4.6%
Maruti Suzuki India Ltd.,Automobile,Equity,3.8%
State Bank of India,Financial,Equity,3.5%
SBI Cards And Payment Services Ltd.,Financial,Equity,3.3%
Syngene International Ltd.,Healthcare,Equity,3.2%
Orient Electric Ltd.,Consumer Discretionary,Equity,3.2%
Ashok Leyland Ltd.,Automobile,Equity,3.1%
SKF India Ltd.,Capital Goods,Equity,2.8%
Max Financial Services Ltd.,Financial,Equity,2.8%
JK Cement Ltd.,Construction,Equity,2.5%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,2.5%
Gujarat State Petronet Ltd.,Energy,Equity,2.5%
Sapphire Foods India Ltd.,Services,Equity,2.5%
Mphasis Ltd.,Technology,Equity,2.2%
Voltas Ltd.,Consumer Discretionary,Equity,2.2%
Indian Energy Exchange Ltd.,Services,Equity,2.2%
Gland Pharma Ltd.,Healthcare,Equity,2.1%
Britannia Industries Ltd.,Consumer Staples,Equity,2.1%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.9%
Muthoot Finance Ltd.,Financial,Equity,1.7%
One97 Communications Ltd.,Services,Equity,1.7%
Bharat Electronics Ltd.,Capital Goods,Equity,1.4%
Zomato Ltd.,Services,Equity,1.4%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.9%
Chemplast Sanmar Ltd.,Chemicals,Equity,0.8%
