Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,10.7%
ICICI Bank Ltd.,Financial,Equity,9.2%
Infosys Ltd.,Technology,Equity,7.1%
Reliance Industries Ltd.,Energy,Equity,6.8%
Axis Bank Ltd.,Financial,Equity,5.0%
State Bank of India,Financial,Equity,3.8%
Bharti Airtel Ltd.,Communication,Equity,3.8%
Maruti Suzuki India Ltd.,Automobile,Equity,2.9%
Larsen & Toubro Ltd.,Construction,Equity,2.9%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.7%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.7%
Tata Consultancy Services Ltd.,Technology,Equity,2.3%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.1%
HCL Technologies Ltd.,Technology,Equity,2.1%
ITC Ltd.,Consumer Staples,Equity,1.8%
NTPC Ltd.,Energy,Equity,1.5%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.4%
Ambuja Cements Ltd.,Construction,Equity,1.4%
Kajaria Ceramics Ltd.,Construction,Equity,1.3%
Ashok Leyland Ltd.,Automobile,Equity,1.2%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.1%
Titan Company Ltd.,Consumer Discretionary,Equity,1.1%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.1%
Tata Steel Ltd.,Metals & Mining,Equity,1.1%
Havells India Ltd.,Capital Goods,Equity,1.0%
Gland Pharma Ltd.,Healthcare,Equity,0.9%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.9%
Indian Energy Exchange Ltd.,Services,Equity,0.9%
Muthoot Finance Ltd.,Financial,Equity,0.9%
Britannia Industries Ltd.,Consumer Staples,Equity,0.9%
Max Financial Services Ltd.,Financial,Equity,0.9%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.9%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,0.8%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.8%
PI Industries Ltd.,Chemicals,Equity,0.8%
Zomato Ltd.,Services,Equity,0.8%
Voltas Ltd.,Consumer Discretionary,Equity,0.8%
Avenue Supermarts Ltd.,Services,Equity,0.8%
Jubilant FoodWorks Ltd.,Services,Equity,0.8%
National Aluminium Company Ltd.,Metals & Mining,Equity,0.7%
Balkrishna Industries Ltd.,Automobile,Equity,0.7%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.7%
FSN E-Commerce Ventures Ltd.,Services,Equity,0.7%
Eicher Motors Ltd.,Automobile,Equity,0.7%
Bharat Electronics Ltd.,Capital Goods,Equity,0.6%
Mphasis Ltd.,Technology,Equity,0.6%
Nuvoco Vistas Corporation Ltd.,Construction,Equity,0.6%
EPL Ltd.,Chemicals,Equity,0.6%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.5%
Chemplast Sanmar Ltd.,Chemicals,Equity,0.5%
Vinati Organics Ltd.,Chemicals,Equity,0.5%
TVS Motor Company Ltd.,Automobile,Equity,0.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,0.4%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.4%
Mirae Asset Nifty 50 ETF - Growth,Financial,Mutual Fund,0.4%
Ajanta Pharma Ltd.,Healthcare,Equity,0.3%
Biocon Ltd.,Healthcare,Equity,0.3%
One97 Communications Ltd.,Services,Equity,0.3%
Dabur India Ltd.,Consumer Staples,Equity,0.3%
