Name,Sector,Instrument,Assets
The Federal Bank Ltd.,Financial,Equity,4.4%
Bharat Forge Ltd.,Automobile,Equity,4.1%
Axis Bank Ltd.,Financial,Equity,3.7%
Shriram Finance Ltd,Financial,Equity,3.6%
TVS Motor Company Ltd.,Automobile,Equity,3.2%
NTPC Ltd.,Energy,Equity,3.0%
Power Finance Corporation Ltd.,Financial,Equity,2.9%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,2.6%
Bayer CropScience Ltd.,Chemicals,Equity,2.6%
Tata Communications Ltd.,Communication,Equity,2.2%
LTIMindtree Ltd.,Technology,Equity,2.2%
Thermax Ltd.,Capital Goods,Equity,2.2%
Page Industries Ltd.,Textiles,Equity,2.2%
Kajaria Ceramics Ltd.,Construction,Equity,2.1%
Gujarat State Petronet Ltd.,Energy,Equity,2.1%
Honeywell Automation India Ltd.,Capital Goods,Equity,2.1%
State Bank of India,Financial,Equity,2.0%
Emami Ltd.,Consumer Staples,Equity,2.0%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,2.0%
SKF India Ltd.,Capital Goods,Equity,1.9%
Bata India Ltd.,Consumer Staples,Equity,1.9%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.8%
Container Corporation Of India Ltd.,Services,Equity,1.8%
Atul Ltd.,Chemicals,Equity,1.8%
Nuvoco Vistas Corporation Ltd.,Construction,Equity,1.8%
JK Cement Ltd.,Construction,Equity,1.8%
Coforge Ltd.,Technology,Equity,1.7%
Ipca Laboratories Ltd.,Healthcare,Equity,1.7%
Bharat Electronics Ltd.,Capital Goods,Equity,1.7%
Fortis Healthcare Ltd.,Healthcare,Equity,1.6%
UTI Asset Management Company Ltd.,Financial,Equity,1.5%
Max Financial Services Ltd.,Financial,Equity,1.5%
Delhivery Ltd.,Services,Equity,1.5%
Voltas Ltd.,Consumer Discretionary,Equity,1.5%
Laurus Labs Ltd.,Healthcare,Equity,1.4%
Prince Pipes and Fittings Ltd.,Chemicals,Equity,1.4%
Ceat Ltd.,Automobile,Equity,1.4%
Natco Pharma Ltd.,Healthcare,Equity,1.3%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.3%
Ajanta Pharma Ltd.,Healthcare,Equity,1.2%
Craftsman Automation Ltd.,Automobile,Equity,1.2%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.1%
TTK Prestige Ltd.,Consumer Discretionary,Equity,1.0%
Balkrishna Industries Ltd.,Automobile,Equity,1.0%
Indraprastha Gas Ltd.,Energy,Equity,1.0%
Chemplast Sanmar Ltd.,Chemicals,Equity,0.9%
Westlife Foodworld Ltd,Services,Equity,0.9%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,0.9%
Mphasis Ltd.,Technology,Equity,0.9%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.9%
Prestige Estates Projects Ltd.,Construction,Equity,0.9%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.7%
Biocon Ltd.,Healthcare,Equity,0.7%
Sudarshan Chemical Industries Ltd.,Chemicals,Equity,0.6%
National Aluminium Company Ltd.,Metals & Mining,Equity,0.6%
KFin Technologies Ltd.,Financial,Equity,0.3%
