Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,10.8%
ICICI Bank Ltd.,Financial,Equity,9.7%
Axis Bank Ltd.,Financial,Equity,9.0%
State Bank of India,Financial,Equity,8.5%
Indusind Bank Ltd.,Financial,Equity,4.6%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.6%
LIC Housing Finance Ltd.,Financial,Equity,4.1%
SBI Cards And Payment Services Ltd.,Financial,Equity,4.1%
Equitas Small Finance Bank Ltd.,Financial,Equity,3.8%
The Federal Bank Ltd.,Financial,Equity,3.4%
Bandhan Bank Ltd.,Financial,Equity,3.0%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.8%
Bank Of Baroda,Financial,Equity,2.8%
UTI Asset Management Company Ltd.,Financial,Equity,2.7%
Max Financial Services Ltd.,Financial,Equity,2.7%
Karur Vysya Bank Ltd.,Financial,Equity,2.5%
Angel One Ltd.,Financial,Equity,2.4%
HDFC Life Insurance Co Ltd.,Insurance,Equity,2.3%
CreditAccess Grameen Ltd.,Financial,Equity,2.0%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,2.0%
RBL Bank Ltd.,Financial,Equity,2.0%
Canara Bank,Financial,Equity,1.6%
Power Finance Corporation Ltd.,Financial,Equity,1.4%
KFin Technologies Ltd.,Financial,Equity,1.2%
PB Fintech Ltd.,Services,Equity,1.0%
Muthoot Finance Ltd.,Financial,Equity,0.8%
Sundaram Finance Ltd.,Financial,Equity,0.7%
Equitas Holdings Ltd.,Financial,Equity,0.6%
Housing Development Finance Corporation Ltd.,Financial,Warrant,0.5%
