Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,6.9%
Infosys Ltd.,Technology,Equity,5.7%
ICICI Bank Ltd.,Financial,Equity,5.2%
Reliance Industries Ltd.,Energy,Equity,4.8%
Axis Bank Ltd.,Financial,Equity,4.3%
Larsen & Toubro Ltd.,Construction,Equity,2.9%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.8%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.5%
Varun Beverages Ltd.,Consumer Staples,Equity,2.4%
Ultratech Cement Ltd.,Construction,Equity,2.4%
AU Small Finance Bank Ltd.,Financial,Equity,2.0%
State Bank of India,Financial,Equity,2.0%
Maruti Suzuki India Ltd.,Automobile,Equity,2.0%
Devyani International Ltd.,Services,Equity,1.8%
Electronics Mart India Ltd.,Services,Equity,1.7%
Asian Paints Ltd.,Chemicals,Equity,1.7%
Steel Authority Of India Ltd.,Metals & Mining,Equity,1.6%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.6%
NTPC Ltd.,Energy,Equity,1.6%
Poonawalla Fincorp Ltd.,Financial,Equity,1.6%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,1.4%
Bandhan Bank Ltd.,Financial,Equity,1.3%
The Ramco Cements Ltd.,Construction,Equity,1.2%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
RateGain Travel Technologies Ltd.,Technology,Equity,1.2%
Wipro Ltd.,Technology,Equity,1.1%
Insecticides (India) Ltd.,Chemicals,Equity,1.1%
MTAR Technologies Ltd.,Capital Goods,Equity,1.1%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,1.1%
Greenpanel Industries Ltd.,Consumer Staples,Equity,1.1%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.1%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.0%
Tech Mahindra Ltd.,Technology,Equity,1.0%
Finolex Cables Ltd.,Capital Goods,Equity,1.0%
Tatva Chintan Pharma Chem Ltd.,Chemicals,Equity,1.0%
Jubilant FoodWorks Ltd.,Services,Equity,1.0%
Zensar Technologies Ltd.,Technology,Equity,0.9%
CreditAccess Grameen Ltd.,Financial,Equity,0.9%
Harsha Engineers International Ltd.,Capital Goods,Equity,0.9%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,0.9%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.9%
Divi's Laboratories Ltd.,Healthcare,Equity,0.9%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.8%
The Indian Hotels Company Ltd.,Services,Equity,0.8%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
Power Finance Corporation Ltd.,Financial,Equity,0.8%
Trent Ltd.,Services,Equity,0.8%
Gland Pharma Ltd.,Healthcare,Equity,0.8%
Ambuja Cements Ltd.,Construction,Equity,0.7%
KNR Constructions Ltd.,Construction,Equity,0.7%
Sapphire Foods India Ltd.,Services,Equity,0.7%
Bajaj Finance Ltd.,Financial,Equity,0.6%
Tata Motors Ltd.,Automobile,Equity,0.6%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.6%
INOX Leisure Ltd.,Services,Equity,0.6%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.6%
Nuvoco Vistas Corporation Ltd.,Construction,Equity,0.6%
LIC Housing Finance Ltd.,Financial,Equity,0.5%
Vijaya Diagnostic Centre Ltd.,Healthcare,Equity,0.5%
Indiabulls Real Estate Ltd.,Construction,Equity,0.5%
Dabur India Ltd.,Consumer Staples,Equity,0.5%
Welspun India Ltd.,Textiles,Equity,0.5%
Bank Of Baroda,Financial,Equity,0.4%
Polycab India Ltd.,Capital Goods,Equity,0.4%
Bharat Heavy Electricals Ltd.,Capital Goods,Equity,0.4%
Eicher Motors Ltd.,Automobile,Equity,0.4%
Radico Khaitan Ltd.,Consumer Staples,Equity,0.4%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.3%
Somany Ceramics Ltd.,Construction,Equity,0.3%
Kirloskar Oil Engines Ltd.,Capital Goods,Equity,0.3%
Supreme Industries Ltd.,Chemicals,Equity,0.2%
