Name,Sector,Instrument,Assets
Housing Development Finance Corporation Ltd.,Financial,Equity,6.7%
Reliance Industries Ltd.,Energy,Equity,6.7%
Larsen & Toubro Ltd.,Construction,Equity,6.6%
State Bank of India,Financial,Equity,5.8%
HDFC Bank Ltd.,Financial,Equity,5.8%
ICICI Bank Ltd.,Financial,Equity,5.3%
ITC Ltd.,Consumer Staples,Equity,4.6%
Infosys Ltd.,Technology,Equity,4.3%
Axis Bank Ltd.,Financial,Equity,4.1%
HCL Technologies Ltd.,Technology,Equity,3.6%
The Indian Hotels Company Ltd.,Services,Equity,3.3%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.6%
Chalet Hotels Ltd.,Services,Equity,2.4%
Bajaj Finance Ltd.,Financial,Equity,2.1%
Tata Motors Ltd.,Automobile,Equity,1.9%
Siemens Ltd.,Capital Goods,Equity,1.6%
EIH Ltd.,Services,Equity,1.4%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.3%
NTPC Ltd.,Energy,Equity,1.2%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.2%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.2%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.1%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.1%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.1%
Bank Of Baroda,Financial,Equity,1.0%
Tata Steel Ltd.,Metals & Mining,Equity,1.0%
Interglobe Aviation Ltd.,Services,Equity,1.0%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.0%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.0%
Tata Consumer Products Ltd.,Consumer Staples,Equity,0.9%
Coal India Ltd.,Energy,Equity,0.9%
Zomato Ltd.,Services,Equity,0.8%
ABB India Ltd.,Capital Goods,Equity,0.8%
United Spirits Ltd.,Consumer Staples,Equity,0.8%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.8%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.8%
Linde India Ltd.,Chemicals,Equity,0.8%
Tech Mahindra Ltd.,Technology,Equity,0.7%
Steel Authority Of India Ltd.,Metals & Mining,Equity,0.7%
Gland Pharma Ltd.,Healthcare,Equity,0.7%
Bajaj Auto Ltd.,Automobile,Equity,0.6%
Divi's Laboratories Ltd.,Healthcare,Equity,0.5%
Max Financial Services Ltd.,Financial,Equity,0.5%
Power Grid Corporation Of India Ltd.,Energy,Equity,0.5%
Britannia Industries Ltd.,Consumer Staples,Equity,0.5%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.5%
GE T&D India Ltd.,Capital Goods,Equity,0.4%
Bandhan Bank Ltd.,Financial,Equity,0.4%
Marico Ltd.,Consumer Staples,Equity,0.4%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.3%
NHPC Ltd.,Energy,Equity,0.3%
Wipro Ltd.,Technology,Equity,0.3%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.3%
Zensar Technologies Ltd.,Technology,Equity,0.3%
3M India Ltd.,Diversified,Equity,0.2%
Bosch Ltd.,Automobile,Equity,0.2%
Pfizer Ltd.,Healthcare,Equity,0.1%
