Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,4.4%
Linde India Ltd.,Chemicals,Equity,4.3%
Larsen & Toubro Ltd.,Construction,Equity,4.0%
Axis Bank Ltd.,Financial,Equity,4.0%
ICICI Bank Ltd.,Financial,Equity,3.9%
The Indian Hotels Company Ltd.,Services,Equity,3.4%
Kennametal India Ltd.,Capital Goods,Equity,3.2%
EIH Ltd.,Services,Equity,3.0%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.8%
Shoppers Stop Ltd.,Services,Equity,2.5%
State Bank of India,Financial,Equity,2.5%
Infosys Ltd.,Technology,Equity,2.3%
HCL Technologies Ltd.,Technology,Equity,2.3%
Reliance Industries Ltd.,Energy,Equity,2.3%
Zee Entertainment Enterprises Ltd.,Services,Equity,2.1%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.0%
Vesuvius India Ltd.,Construction,Equity,1.9%
ITC Ltd.,Consumer Staples,Equity,1.5%
Triveni Turbine Ltd.,Capital Goods,Equity,1.5%
Max Financial Services Ltd.,Financial,Equity,1.4%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.3%
Trent Ltd.,Services,Equity,1.2%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.2%
Bajaj Finance Ltd.,Financial,Equity,1.2%
Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,1.1%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.1%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.1%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.1%
Pfizer Ltd.,Healthcare,Equity,1.1%
Sapphire Foods India Ltd.,Services,Equity,1.0%
PB Fintech Ltd.,Services,Equity,1.0%
Finolex Cables Ltd.,Capital Goods,Equity,0.9%
Tata Consultancy Services Ltd.,Technology,Equity,0.9%
LIC Housing Finance Ltd.,Financial,Equity,0.9%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.8%
Vijaya Diagnostic Centre Ltd.,Healthcare,Equity,0.8%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,0.8%
Honeywell Automation India Ltd.,Capital Goods,Equity,0.7%
Siemens Ltd.,Capital Goods,Equity,0.7%
Steel Authority Of India Ltd.,Metals & Mining,Equity,0.7%
Wipro Ltd.,Technology,Equity,0.7%
Abbott India Ltd.,Healthcare,Equity,0.7%
Bandhan Bank Ltd.,Financial,Equity,0.7%
CreditAccess Grameen Ltd.,Financial,Equity,0.7%
Cummins India Ltd.,Capital Goods,Equity,0.6%
RBL Bank Ltd.,Financial,Equity,0.6%
Mahindra Logistics Ltd.,Services,Equity,0.6%
Canara Bank,Financial,Equity,0.6%
Ajanta Pharma Ltd.,Healthcare,Equity,0.6%
ABB India Ltd.,Capital Goods,Equity,0.6%
GE T&D India Ltd.,Capital Goods,Equity,0.6%
NHPC Ltd.,Energy,Equity,0.6%
Varroc Engineering Ltd.,Automobile,Equity,0.5%
KEC International Ltd.,Capital Goods,Equity,0.5%
Voltas Ltd.,Consumer Discretionary,Equity,0.5%
Power Finance Corporation Ltd.,Financial,Equity,0.5%
Ashok Leyland Ltd.,Automobile,Equity,0.5%
Zomato Ltd.,Services,Equity,0.5%
Emami Ltd.,Consumer Staples,Equity,0.5%
Interglobe Aviation Ltd.,Services,Equity,0.5%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.5%
Rites Ltd.,Construction,Equity,0.5%
Divi's Laboratories Ltd.,Healthcare,Equity,0.5%
Equitas Small Finance Bank Ltd.,Financial,Equity,0.5%
Gland Pharma Ltd.,Healthcare,Equity,0.5%
Zensar Technologies Ltd.,Technology,Equity,0.4%
Chalet Hotels Ltd.,Services,Equity,0.4%
Tata Consumer Products Ltd.,Consumer Staples,Equity,0.4%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,0.4%
Care Ratings Ltd.,Services,Equity,0.4%
Tata Motors Ltd.,Automobile,Equity,0.4%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,0.4%
JM Financial Ltd.,Financial,Equity,0.4%
Zydus Lifesciences Ltd.,Healthcare,Equity,0.4%
VRL Logistics Ltd.,Services,Equity,0.4%
AU Small Finance Bank Ltd.,Financial,Equity,0.4%
TeamLease Services Ltd.,Services,Equity,0.4%
Schneider Electric Infrastructure Ltd.,Capital Goods,Equity,0.4%
PVR Ltd.,Services,Equity,0.4%
Ashoka Buildcon Ltd.,Construction,Equity,0.3%
Multi Commodity Exchange Of India Ltd.,Services,Equity,0.3%
Bank Of Baroda,Financial,Equity,0.3%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,0.3%
Astec Lifesciences Ltd.,Chemicals,Equity,0.3%
Bajaj Consumer Care Ltd.,Consumer Staples,Equity,0.3%
3M India Ltd.,Diversified,Equity,0.3%
V.S.T. Tillers Tractors Ltd.,Automobile,Equity,0.3%
Tech Mahindra Ltd.,Technology,Equity,0.3%
NTPC Ltd.,Energy,Equity,0.2%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.2%
GE Power India Ltd.,Capital Goods,Equity,0.2%
RateGain Travel Technologies Ltd.,Technology,Equity,0.2%
Finolex Industries Ltd.,Chemicals,Equity,0.2%
