Name,Sector,Instrument,Assets
Housing Development Finance Corporation Ltd.,Financial,Equity,9.6%
ICICI Bank Ltd.,Financial,Equity,7.7%
Infosys Ltd.,Technology,Equity,6.4%
Reliance Industries Ltd.,Energy,Equity,6.1%
Larsen & Toubro Ltd.,Construction,Equity,5.6%
State Bank of India,Financial,Equity,4.9%
ITC Ltd.,Consumer Staples,Equity,4.4%
Axis Bank Ltd.,Financial,Equity,4.3%
Mahindra & Mahindra Ltd.,Automobile,Equity,3.4%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.7%
Power Finance Corporation Ltd.,Financial,Equity,2.5%
Maruti Suzuki India Ltd.,Automobile,Equity,2.5%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.2%
Varun Beverages Ltd.,Consumer Staples,Equity,2.1%
Coal India Ltd.,Energy,Equity,2.0%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.0%
LIC Housing Finance Ltd.,Financial,Equity,1.9%
Nestle India Ltd.,Consumer Staples,Equity,1.9%
Bajaj Finance Ltd.,Financial,Equity,1.9%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.9%
The Indian Hotels Company Ltd.,Services,Equity,1.9%
Abbott India Ltd.,Healthcare,Equity,1.8%
Siemens Ltd.,Capital Goods,Equity,1.8%
Britannia Industries Ltd.,Consumer Staples,Equity,1.7%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.7%
Persistent Systems Ltd.,Technology,Equity,1.7%
NTPC Ltd.,Energy,Equity,1.7%
Cummins India Ltd.,Capital Goods,Equity,1.6%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.5%
LTIMindtree Ltd.,Technology,Equity,1.5%
Hindustan Zinc Ltd.,Metals & Mining,Equity,1.5%
Ambuja Cements Ltd.,Construction,Equity,1.5%
Bharat Electronics Ltd.,Capital Goods,Equity,1.4%
Eicher Motors Ltd.,Automobile,Equity,1.4%
NHPC Ltd.,Energy,Equity,1.2%
