Name,Sector,Instrument,Assets
Tube Investments Of India Ltd.,Automobile,Equity,3.8%
Bank Of Baroda,Financial,Equity,2.0%
HDFC Bank Ltd.,Financial,Equity,1.9%
KPIT Technologies Ltd.,Technology,Equity,1.6%
Bajaj Electricals Ltd.,Consumer Discretionary,Equity,1.6%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.6%
Fine Organic Industries Ltd.,Chemicals,Equity,1.5%
State Bank of India,Financial,Equity,1.4%
Tejas Networks Ltd.,Communication,Equity,1.4%
Timken India Ltd.,Capital Goods,Equity,1.4%
Larsen & Toubro Ltd.,Construction,Equity,1.4%
Axis Bank Ltd.,Financial,Equity,1.4%
NIIT Ltd.,Technology,Equity,1.4%
Navin Fluorine International Ltd.,Chemicals,Equity,1.4%
Poonawalla Fincorp Ltd.,Financial,Equity,1.3%
Zydus Wellness Ltd.,Consumer Staples,Equity,1.3%
CreditAccess Grameen Ltd.,Financial,Equity,1.3%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.2%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.2%
Karur Vysya Bank Ltd.,Financial,Equity,1.2%
Birla Corporation Ltd.,Construction,Equity,1.2%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.1%
Elantas Beck India Ltd.,Chemicals,Equity,1.1%
Orient Electric Ltd.,Consumer Discretionary,Equity,1.1%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.1%
Voltamp Transformers Ltd.,Capital Goods,Equity,1.0%
Raymond Ltd.,Textiles,Equity,1.0%
Deepak Nitrite Ltd.,Chemicals,Equity,1.0%
Apar Industries Ltd.,Diversified,Equity,1.0%
Affle (India) Ltd.,Technology,Equity,1.0%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,1.0%
Vardhman Textiles Ltd.,Textiles,Equity,1.0%
Radico Khaitan Ltd.,Consumer Staples,Equity,0.9%
K.P.R. Mill Ltd.,Textiles,Equity,0.9%
eClerx Services Ltd.,Services,Equity,0.9%
Central Depository Services (India) Ltd.,Financial,Equity,0.9%
Jyothy Labs Ltd.,Consumer Staples,Equity,0.9%
Cyient Ltd.,Technology,Equity,0.9%
Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,0.9%
Bayer CropScience Ltd.,Chemicals,Equity,0.8%
Ion Exchange (India) Ltd.,Capital Goods,Equity,0.8%
Sapphire Foods India Ltd.,Services,Equity,0.8%
Finolex Cables Ltd.,Capital Goods,Equity,0.8%
Honda India Power Products Ltd.,Capital Goods,Equity,0.8%
Procter & Gamble Health Ltd.,Healthcare,Equity,0.8%
Rallis India Ltd.,Chemicals,Equity,0.8%
The Indian Hotels Company Ltd.,Services,Equity,0.8%
Linde India Ltd.,Chemicals,Equity,0.8%
West Coast Paper Mills Ltd.,Consumer Staples,Equity,0.7%
H.G. Infra Engineering Ltd.,Construction,Equity,0.7%
Paradeep Phosphates Ltd.,Chemicals,Equity,0.7%
Fusion Micro Finance Ltd.,Financial,Equity,0.7%
Vindhya Telelinks Ltd.,Communication,Equity,0.7%
Rites Ltd.,Construction,Equity,0.7%
RateGain Travel Technologies Ltd.,Technology,Equity,0.7%
Grindwell Norton Ltd.,Metals & Mining,Equity,0.7%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.7%
Ambuja Cements Ltd.,Construction,Equity,0.7%
SIS Ltd.,Services,Equity,0.7%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.6%
Ajanta Pharma Ltd.,Healthcare,Equity,0.6%
Gokaldas Exports Ltd.,Textiles,Equity,0.6%
Bharat Heavy Electricals Ltd.,Capital Goods,Equity,0.6%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.6%
Tata Steel Long Products Ltd.,Metals & Mining,Equity,0.6%
Kirloskar Brothers Ltd.,Capital Goods,Equity,0.6%
Pfizer Ltd.,Healthcare,Equity,0.6%
Automotive Axles Ltd.,Automobile,Equity,0.6%
JTEKT India Ltd.,Automobile,Equity,0.6%
Interglobe Aviation Ltd.,Services,Equity,0.6%
TD Power Systems Ltd.,Capital Goods,Equity,0.6%
RBL Bank Ltd.,Financial,Equity,0.6%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.6%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,0.5%
ISGEC Heavy Engineering Ltd.,Capital Goods,Equity,0.5%
FDC Ltd.,Healthcare,Equity,0.5%
VIP Industries Ltd.,Chemicals,Equity,0.5%
Harsha Engineers International Ltd.,Capital Goods,Equity,0.5%
Indoco Remedies Ltd.,Healthcare,Equity,0.5%
Bajaj Consumer Care Ltd.,Consumer Staples,Equity,0.5%
Praj Industries Ltd.,Capital Goods,Equity,0.5%
Genus Power Infrastructures Ltd.,Capital Goods,Equity,0.5%
Jubilant Ingrevia Ltd.,Chemicals,Equity,0.5%
Polyplex Corporation Ltd.,Chemicals,Equity,0.4%
Godrej Agrovet Ltd.,Consumer Staples,Equity,0.4%
Fineotex Chemical Ltd.,Chemicals,Equity,0.4%
MTAR Technologies Ltd.,Capital Goods,Equity,0.4%
Bharat Electronics Ltd.,Capital Goods,Equity,0.4%
Care Ratings Ltd.,Services,Equity,0.4%
Astrazeneca Pharma India Ltd.,Healthcare,Equity,0.4%
Just Dial Ltd.,Services,Equity,0.4%
PNC Infratech Ltd.,Construction,Equity,0.4%
Jindal Stainless Ltd.,Metals & Mining,Equity,0.4%
eMudhra Ltd.,Services,Equity,0.4%
Asahi India Glass Ltd.,Construction,Equity,0.4%
V.S.T. Tillers Tractors Ltd.,Automobile,Equity,0.4%
Triveni Engineering & Industries Ltd.,Consumer Staples,Equity,0.4%
Sundaram Finance Holdings Ltd.,Financial,Equity,0.4%
PB Fintech Ltd.,Services,Equity,0.4%
Blue Star Ltd.,Consumer Discretionary,Equity,0.4%
Astec Lifesciences Ltd.,Chemicals,Equity,0.3%
Persistent Systems Ltd.,Technology,Equity,0.3%
Lux Industries Ltd.,Textiles,Equity,0.3%
The India Cements Ltd.,Construction,Equity,0.3%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.3%
Castrol India Ltd.,Energy,Equity,0.3%
Brigade Enterprises Ltd.,Construction,Equity,0.3%
Thyrocare Technologies Ltd.,Healthcare,Equity,0.3%
Archean Chemical Industries Ltd.,Chemicals,Equity,0.3%
Coal India Ltd.,Energy,Equity,0.3%
Landmark Cars Ltd.,Services,Equity,0.3%
Mahindra Logistics Ltd.,Services,Equity,0.3%
Venus Pipes & Tubes Ltd.,Metals & Mining,Equity,0.3%
Tracxn Technologies Ltd.,Technology,Equity,0.3%
LG Balakrishnan & Bros Ltd.,Automobile,Equity,0.3%
Orient Cement Ltd.,Construction,Equity,0.3%
Sandhar Technologies Ltd.,Automobile,Equity,0.3%
Kirloskar Ferrous Industries Ltd.,Metals & Mining,Equity,0.2%
Tata Coffee Ltd.,Consumer Staples,Equity,0.2%
KEC International Ltd.,Capital Goods,Equity,0.2%
Styrenix Performance Materials Ltd.,Chemicals,Equity,0.2%
Apollo Tyres Ltd.,Automobile,Equity,0.2%
Sterlite Technologies Ltd.,Communication,Equity,0.2%
CCL Products (India) Ltd.,Consumer Staples,Equity,0.2%
Intellect Design Arena Ltd.,Technology,Equity,0.2%
Texmaco Rail & Engineering Ltd.,Capital Goods,Equity,0.2%
Stove Kraft Ltd.,Consumer Discretionary,Equity,0.2%
NLC India Ltd.,Energy,Equity,0.2%
Pokarna Ltd.,Construction,Equity,0.2%
Vesuvius India Ltd.,Construction,Equity,0.2%
Shriram Properties Ltd.,Construction,Equity,0.2%
Supriya Lifescience Ltd.,Healthcare,Equity,0.2%
Sonata Software Ltd.,Technology,Equity,0.2%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.2%
Greenlam Industries Ltd.,Consumer Staples,Equity,0.2%
Apex Frozen Foods Ltd.,Consumer Staples,Equity,0.2%
Ashoka Buildcon Ltd.,Construction,Equity,0.2%
CESC Ltd.,Energy,Equity,0.2%
Life Insurance Corporation of India,Insurance,Equity,0.2%
Tatva Chintan Pharma Chem Ltd.,Chemicals,Equity,0.2%
Electrosteel Castings Ltd.,Metals & Mining,Equity,0.1%
Rolex Rings Ltd,Capital Goods,Equity,0.1%
Aster DM Healthcare Ltd.,Healthcare,Equity,0.1%
Kei Industries Ltd.,Capital Goods,Equity,0.1%
City Union Bank Ltd.,Financial,Equity,0.1%
Tarsons Products Ltd.,Healthcare,Equity,0.1%
Uniparts India Ltd.,Automobile,Equity,0.1%
Paras Defence And Space Technologies Ltd.,Capital Goods,Equity,0.1%
Subros Ltd.,Automobile,Equity,0.1%
Mishra Dhatu Nigam Ltd.,Metals & Mining,Equity,0.1%
Capacit'e Infraprojects Ltd.,Construction,Equity,0.1%
Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,0.1%
Global Health Ltd.,Healthcare,Equity,0.1%
Orient Paper & Industries Ltd.,Consumer Staples,Equity,0.1%
RHI Magnesita India Ltd.,Construction,Equity,0.1%
Birlasoft Ltd.,Technology,Equity,0.1%
