Name,Sector,Instrument,Assets
Taiwan Semiconductor Manufacturing Co Ltd. (Taiwan),Capital Goods,Forgn. Eq,9.0%
Jentech Precision Industrial Co Ltd.,Capital Goods,Forgn. Eq,5.5%
Lotes Co Ltd.,Capital Goods,Forgn. Eq,4.3%
eMemory Technology Inc,Consumer Discretionary,Forgn. Eq,3.8%
Unimicron Technology Corp,Capital Goods,Forgn. Eq,3.7%
Gudeng Precision Industrial Co Ltd.,Technology,Forgn. Eq,3.3%
Accton Technology Corporation,Communication,Forgn. Eq,3.3%
Far EasTone Telecommunications Co Ltd.,Communication,Forgn. Eq,3.2%
Chunghwa Telecom Co Ltd.,Communication,Forgn. Eq,2.5%
Aspeed Technology Inc,Technology,Forgn. Eq,2.5%
Taiwan Mask Corp,Capital Goods,Forgn. Eq,2.4%
Asia Vital Components Co Ltd.,Technology,Forgn. Eq,2.4%
Wiwynn Corporation,Technology,Forgn. Eq,2.4%
Allied Supreme Corporation,Chemicals,Forgn. Eq,2.1%
Realtek Semiconductor Corporation,Technology,Forgn. Eq,1.9%
Makalot Industrial Co Ltd.,Textiles,Forgn. Eq,1.9%
Gold Circuit Electronics Ltd.,Capital Goods,Forgn. Eq,1.9%
Tong Hsing Electronics Industries Ltd.,Capital Goods,Forgn. Eq,1.9%
Genius Electronic Optical Co Ltd.,Capital Goods,Forgn. Eq,1.8%
Delta Electronics Inc.,Capital Goods,Forgn. Eq,1.8%
Chroma ATE Inc.,Capital Goods,Forgn. Eq,1.6%
Silergy Corp,Technology,Forgn. Eq,1.6%
Pegavision Corporation,Consumer Staples,Forgn. Eq,1.6%
Largan Precision Co. Ltd. (Taiwan),Consumer Staples,Forgn. Eq,1.6%
Global Unichip Corp,Capital Goods,Forgn. Eq,1.5%
Yulon Motor Company Ltd.,Automobile,Forgn. Eq,1.4%
Elite Material Co Ltd.,Communication,Forgn. Eq,1.4%
Visual Photonics Epitaxy Co Ltd.,Capital Goods,Forgn. Eq,1.3%
Eva Airways Corporation,Services,Forgn. Eq,1.3%
Ingentec Corporation,Services,Forgn. Eq,1.3%
Lion Travel Service Co Ltd.,Services,Forgn. Eq,1.3%
Mpi Corporation,Capital Goods,Forgn. Eq,1.2%
Visco Vision Inc,Consumer Staples,Forgn. Eq,1.1%
TXC Corp,Capital Goods,Forgn. Eq,1.0%
Nak Sealing Technologies Corporation,Automobile,Equity,0.9%
Global Pmx Co Ltd.,Automobile,Equity,0.8%
Chlitina Holding Ltd.,Consumer Staples,Forgn. Eq,0.7%
Parade Technologies Ltd.,Capital Goods,Equity,0.7%
RDC Semiconductor Co Ltd.,Consumer Discretionary,Forgn. Eq,0.5%
Ampak Technology Inc,Communication,Forgn. Eq,0.4%
Foxsemicon Integrated Technology Inc,Capital Goods,Forgn. Eq,0.3%
Momo.Com Inc,Services,Forgn. Eq,0.3%
Sunonwealth Electric Machine Industry Co. Ltd.,Capital Goods,Forgn. Eq,0.3%
