Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.3%
ICICI Bank Ltd.,Financial,Equity,8.1%
Infosys Ltd.,Technology,Equity,6.1%
Axis Bank Ltd.,Financial,Equity,5.2%
State Bank of India,Financial,Equity,5.1%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.2%
Reliance Industries Ltd.,Energy,Equity,4.1%
Larsen & Toubro Ltd.,Construction,Equity,3.5%
NTPC Ltd.,Energy,Equity,2.5%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.0%
Bajaj Finance Ltd.,Financial,Equity,2.0%
KSB Ltd.,Capital Goods,Equity,1.9%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.9%
Tata Motors Ltd.,Automobile,Equity,1.9%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.9%
The Indian Hotels Company Ltd.,Services,Equity,1.8%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.8%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.6%
Linde India Ltd.,Chemicals,Equity,1.6%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.6%
Ambuja Cements Ltd.,Construction,Equity,1.5%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.5%
Ultratech Cement Ltd.,Construction,Equity,1.5%
United Spirits Ltd.,Consumer Staples,Equity,1.4%
PVR Ltd.,Services,Equity,1.4%
Interglobe Aviation Ltd.,Services,Equity,1.4%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,1.3%
Gland Pharma Ltd.,Healthcare,Equity,1.3%
Tata Steel Ltd.,Metals & Mining,Equity,1.3%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.3%
Macrotech Developers Ltd.,Construction,Equity,1.3%
Sundaram-Clayton Ltd.,Automobile,Equity,1.3%
Max Financial Services Ltd.,Financial,Equity,1.2%
Bata India Ltd.,Consumer Staples,Equity,1.1%
Bharat Forge Ltd.,Automobile,Equity,1.0%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.0%
Gujarat Gas Ltd.,Energy,Equity,1.0%
Automotive Axles Ltd.,Automobile,Equity,1.0%
Tata Consumer Products Ltd.,Consumer Staples,Equity,1.0%
Radico Khaitan Ltd.,Consumer Staples,Equity,0.9%
Tatva Chintan Pharma Chem Ltd.,Chemicals,Equity,0.9%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.9%
Ipca Laboratories Ltd.,Healthcare,Equity,0.9%
Wheels India Ltd.,Automobile,Equity,0.8%
Power Grid Corporation Of India Ltd.,Energy,Equity,0.7%
Zydus Lifesciences Ltd.,Healthcare,Equity,0.7%
KNR Constructions Ltd.,Construction,Equity,0.5%
Astral Ltd.,Chemicals,Equity,0.5%
Emami Ltd.,Consumer Staples,Equity,0.5%
Power Finance Corporation Ltd.,Financial,Equity,0.4%
3M India Ltd.,Diversified,Equity,0.3%
Carborundum Universal Ltd.,Metals & Mining,Equity,0.2%
