Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.1%
ICICI Bank Ltd.,Financial,Equity,5.9%
Infosys Ltd.,Technology,Equity,5.4%
Reliance Industries Ltd.,Energy,Equity,5.1%
HDFC Life Insurance Co Ltd.,Insurance,Equity,4.8%
Axis Bank Ltd.,Financial,Equity,4.5%
Larsen & Toubro Ltd.,Construction,Equity,4.5%
Bharti Airtel Ltd.,Communication,Equity,4.3%
State Bank of India,Financial,Equity,4.0%
GAIL (India) Ltd.,Energy,Equity,3.3%
ITC Ltd.,Consumer Staples,Equity,3.0%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.7%
Chemplast Sanmar Ltd.,Chemicals,Equity,2.5%
The Federal Bank Ltd.,Financial,Equity,2.5%
Bata India Ltd.,Consumer Staples,Equity,2.3%
HCL Technologies Ltd.,Technology,Equity,2.2%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,2.2%
Cipla Ltd.,Healthcare,Equity,2.0%
Ashok Leyland Ltd.,Automobile,Equity,2.0%
Ultratech Cement Ltd.,Construction,Equity,1.9%
Bayer CropScience Ltd.,Chemicals,Equity,1.9%
Aurobindo Pharma Ltd.,Healthcare,Equity,1.7%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.7%
NTPC Ltd.,Energy,Equity,1.7%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.7%
Equitas Small Finance Bank Ltd.,Financial,Equity,1.6%
City Union Bank Ltd.,Financial,Equity,1.6%
Praj Industries Ltd.,Capital Goods,Equity,1.6%
Newgen Software Technologies Ltd.,Technology,Equity,1.6%
UNO Minda Ltd.,Automobile,Equity,1.4%
Bharat Forge Ltd.,Automobile,Equity,1.3%
Power Finance Corporation Ltd.,Financial,Equity,1.3%
Vardhman Textiles Ltd.,Textiles,Equity,1.0%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.0%
Mahindra & Mahindra Ltd.,Automobile,Equity,0.9%
Reserve Bank of India,Financial,T-Bills,0.2%
