Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.3%
ICICI Bank Ltd.,Financial,Equity,6.9%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.1%
Reliance Industries Ltd.,Energy,Equity,4.1%
Cummins India Ltd.,Capital Goods,Equity,3.1%
Max Healthcare Institute Ltd.,Healthcare,Equity,2.9%
HDFC Life Insurance Co Ltd.,Insurance,Equity,2.8%
Infosys Ltd.,Technology,Equity,2.8%
Esab India Ltd.,Capital Goods,Equity,2.7%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.7%
Axis Bank Ltd.,Financial,Equity,2.5%
Varun Beverages Ltd.,Consumer Staples,Equity,2.5%
NTPC Ltd.,Energy,Equity,2.4%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.3%
Route Mobile Ltd.,Technology,Equity,2.2%
Bharti Airtel Ltd.,Communication,Equity,2.2%
Maruti Suzuki India Ltd.,Automobile,Equity,2.1%
SKF India Ltd.,Capital Goods,Equity,2.1%
Bharat Forge Ltd.,Automobile,Equity,2.0%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,2.0%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.9%
Affle (India) Ltd.,Technology,Equity,1.9%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.7%
Britannia Industries Ltd.,Consumer Staples,Equity,1.6%
Grasim Industries Ltd.,Construction,Equity,1.6%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.5%
SIRCA Paints India Ltd.,Chemicals,Equity,1.5%
Sobha Ltd.,Construction,Equity,1.5%
SRF Ltd.,Diversified,Equity,1.3%
PI Industries Ltd.,Chemicals,Equity,1.3%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.3%
Ceat Ltd.,Automobile,Equity,1.1%
Graphite India Ltd.,Construction,Equity,1.1%
Finolex Industries Ltd.,Chemicals,Equity,1.1%
Mas Financial Services Ltd.,Financial,Equity,1.1%
Bank Of Baroda,Financial,Equity,1.1%
Power Finance Corporation Ltd.,Financial,Equity,1.1%
Global Health Ltd.,Healthcare,Equity,1.1%
Persistent Systems Ltd.,Technology,Equity,1.0%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
Bharat Electronics Ltd.,Capital Goods,Equity,0.8%
ABB India Ltd.,Capital Goods,Equity,0.6%
Kansai Nerolac Paints Ltd.,Chemicals,Equity,0.4%
SH Kelkar And Company Ltd.,Chemicals,Equity,0.3%
Reserve Bank of India,Financial,T-Bills,0.1%
