Name,Sector,Instrument,Assets
Cummins India Ltd.,Capital Goods,Equity,4.2%
HDFC Bank Ltd.,Financial,Equity,3.9%
Bata India Ltd.,Consumer Staples,Equity,3.7%
The Federal Bank Ltd.,Financial,Equity,3.7%
Kajaria Ceramics Ltd.,Construction,Equity,3.6%
Timken India Ltd.,Capital Goods,Equity,3.5%
SKF India Ltd.,Capital Goods,Equity,3.2%
Varun Beverages Ltd.,Consumer Staples,Equity,3.1%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,3.1%
Jubilant FoodWorks Ltd.,Services,Equity,3.0%
Dalmia Bharat Ltd.,Construction,Equity,2.8%
Persistent Systems Ltd.,Technology,Equity,2.7%
Max Healthcare Institute Ltd.,Healthcare,Equity,2.6%
Radico Khaitan Ltd.,Consumer Staples,Equity,2.4%
Alkem Laboratories Ltd.,Healthcare,Equity,2.4%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,2.3%
Container Corporation Of India Ltd.,Services,Equity,2.3%
Bosch Ltd.,Automobile,Equity,2.3%
Oberoi Realty Ltd.,Construction,Equity,2.2%
Navin Fluorine International Ltd.,Chemicals,Equity,2.2%
Laurus Labs Ltd.,Healthcare,Equity,2.2%
ICICI Bank Ltd.,Financial,Equity,2.1%
ABB India Ltd.,Capital Goods,Equity,2.0%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.9%
Ashok Leyland Ltd.,Automobile,Equity,1.8%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.7%
TVS Motor Company Ltd.,Automobile,Equity,1.7%
The Indian Hotels Company Ltd.,Services,Equity,1.5%
Gujarat Gas Ltd.,Energy,Equity,1.4%
Voltas Ltd.,Consumer Discretionary,Equity,1.4%
Affle (India) Ltd.,Technology,Equity,1.4%
Sagar Cements Ltd.,Construction,Equity,1.3%
Axis Bank Ltd.,Financial,Equity,1.3%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.2%
Graphite India Ltd.,Construction,Equity,1.0%
Tata Chemicals Ltd.,Chemicals,Equity,1.0%
Max Financial Services Ltd.,Financial,Equity,0.9%
Kolte-Patil Developers Ltd.,Construction,Equity,0.8%
Bharat Rasayan Ltd.,Chemicals,Equity,0.8%
CreditAccess Grameen Ltd.,Financial,Equity,0.8%
India Glycols Ltd.,Chemicals,Equity,0.8%
Stove Kraft Ltd.,Consumer Discretionary,Equity,0.7%
Canara Bank,Financial,Equity,0.6%
Escorts Kubota Ltd.,Automobile,Equity,0.4%
Greenply Industries Ltd.,Consumer Staples,Equity,0.4%
Mphasis Ltd.,Technology,Equity,0.3%
Gland Pharma Ltd.,Healthcare,Equity,0.2%
Reserve Bank of India,Financial,T-Bills,0.2%
