Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,4.4%
HDFC Bank Ltd.,Financial,Equity,4.1%
Infosys Ltd.,Technology,Equity,4.0%
Reliance Industries Ltd.,Energy,Equity,3.0%
Dixon Technologies (India) Ltd.,Engineering,Equity,3.0%
Bajaj Finance Ltd.,Financial,Equity,2.5%
TCI Express Ltd.,Services,Equity,2.3%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,2.2%
Housing Development Finance Corpn. Ltd.,Financial,Equity,2.2%
BEML Ltd,Engineering,Equity,2.1%
Bajaj Finserv Ltd.,Financial,Equity,2.1%
Larsen & Toubro Ltd.,Construction,Equity,2.1%
Mphasis Ltd.,Technology,Equity,2.0%
Avenue Supermarts Ltd.,Services,Equity,2.0%
Tata Motors Ltd.,Automobile,Equity,2.0%
Divi's Laboratories Ltd.,Healthcare,Equity,2.0%
Mold-Tek Packaging Ltd.,Chemicals,Equity,1.9%
Navin Fluorine International Ltd.,Chemicals,Equity,1.7%
Polycab India Ltd.,Engineering,Equity,1.7%
Max Financial Services Ltd.,Financial,Equity,1.7%
Canara Bank,Financial,Equity,1.6%
Fortis Healthcare Ltd.,Healthcare,Equity,1.6%
Tata Consultancy Services Ltd.,Technology,Equity,1.5%
Relaxo Footwears Ltd.,FMCG,Equity,1.5%
Axis Bank Ltd.,Financial,Equity,1.5%
SKF India Ltd.,Engineering,Equity,1.4%
Atul Ltd.,Chemicals,Equity,1.4%
Tata Power Company Ltd.,Energy,Equity,1.4%
Godrej Properties Ltd.,Construction,Equity,1.3%
Ashok Leyland Ltd.,Automobile,Equity,1.3%
Indian Bank,Financial,Equity,1.3%
Shree Cement Ltd.,Construction,Equity,1.2%
Hindalco Industries Ltd.,Metals,Equity,1.2%
Bank Of Baroda,Financial,Equity,1.2%
Ultratech Cement Ltd.,Construction,Equity,1.2%
Astral Ltd.,Chemicals,Equity,1.2%
Bharti Airtel Ltd.,Communication,Equity,1.2%
Wipro Ltd.,Technology,Equity,1.2%
Gujarat Gas Ltd.,Energy,Equity,1.2%
Motherson Sumi Systems Ltd.,Automobile,Equity,1.2%
L&T Finance Holdings Ltd.,Financial,Equity,1.1%
Natco Pharma Ltd.,Healthcare,Equity,1.1%
State Bank of India,Financial,Equity,1.1%
Tata Steel Ltd.,Metals,Equity,1.1%
Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
Varun Beverages Ltd.,FMCG,Equity,1.0%
Jubilant FoodWorks Ltd.,Services,Equity,1.0%
Laurus Labs Ltd.,Healthcare,Equity,1.0%
SRF Ltd.,Diversified,Equity,1.0%
Ipca Laboratories Ltd.,Healthcare,Equity,1.0%
Rossari Biotech Ltd.,Chemicals,Equity,0.9%
Sundram Fasteners Ltd.,Engineering,Equity,0.9%
Minda Industries Ltd.,Automobile,Equity,0.9%
Indraprastha Gas Ltd.,Energy,Equity,0.8%
Kajaria Ceramics Ltd.,Construction,Equity,0.7%
Indusind Bank Ltd.,Financial,Equity,0.6%
Hindustan Unilever Ltd.,FMCG,Equity,0.6%
Balkrishna Industries Ltd.,Automobile,Equity,0.5%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.5%
AIA Engineering Ltd.,Metals,Equity,0.4%
Gujarat State Petronet Ltd.,Energy,Equity,0.3%
PB Fintech Ltd.,Services,Equity,0.2%
PI Industries Ltd.,Chemicals,Equity,0.1%
