Name,Sector,Instrument,Assets
Reliance Industries Ltd.,Energy,Equity,7.2%
State Bank of India,Financial,Equity,7.2%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,7.0%
ITC Ltd.,Consumer Staples,Equity,7.0%
Punjab National Bank,Financial,Equity,4.6%
NTPC Ltd.,Energy,Equity,4.1%
Hindalco Industries Ltd.,Metals & Mining,Equity,3.9%
HDFC Bank Ltd.,Financial,Equity,3.7%
Bharti Airtel Ltd.,Communication,Equity,3.6%
The Indian Hotels Company Ltd.,Services,Equity,3.6%
Macrotech Developers Ltd.,Construction,Equity,3.5%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,3.0%
Union Bank of India,Financial,Equity,2.9%
United Spirits Ltd.,Consumer Staples,Equity,2.9%
Bikaji Foods International Ltd.,Consumer Staples,Equity,2.8%
Life Insurance Corporation of India,Insurance,Equity,2.6%
Heidelberg Cement India Ltd.,Construction,Equity,2.6%
Canara Bank,Financial,Equity,2.2%
IRB Infrastructure Developers Ltd.,Construction,Equity,2.1%
UPL Ltd.,Chemicals,Equity,2.1%
Jindal Stainless Ltd.,Metals & Mining,Equity,2.0%
Ambuja Cements Ltd.,Construction,Equity,2.0%
Bharat Forge Ltd.,Automobile,Equity,1.9%
National Aluminium Company Ltd.,Metals & Mining,Equity,1.9%
Tata Consumer Products Ltd.,Consumer Staples,Equity,1.7%
Tata Communications Ltd.,Communication,Equity,1.3%
Oracle Financial Services Software Ltd.,Technology,Equity,1.1%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.1%
Maruti Suzuki India Ltd.,Automobile,Equity,0.9%
Wipro Ltd.,Technology,Equity,0.8%
Aegis Logistics Ltd.,Services,Equity,0.8%
Cummins India Ltd.,Capital Goods,Equity,0.7%
Piramal Enterprises Ltd.,Healthcare,Equity,0.7%
HFCL Ltd.,Communication,Equity,0.7%
RBL Bank Ltd.,Financial,Equity,0.6%
Zensar Technologies Ltd.,Technology,Equity,0.6%
Usha Martin Ltd.,Metals & Mining,Equity,0.5%
Strides Pharma Science Ltd.,Healthcare,Equity,0.5%
Motilal Oswal Financial Services Ltd.,Financial,Equity,0.4%
Vedanta Ltd.,Metals & Mining,Equity,0.3%
Himadri Speciality Chemical Ltd.,Chemicals,Equity,0.3%
GAIL (India) Ltd.,Energy,Equity,0.3%
