Name,Sector,Instrument,Assets
Bikaji Foods International Ltd.,Consumer Staples,Equity,8.9%
Reliance Industries Ltd.,Energy,Equity,8.8%
State Bank of India,Financial,Equity,8.5%
HDFC Bank Ltd.,Financial,Equity,8.4%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,6.5%
ITC Ltd.,Consumer Staples,Equity,6.4%
United Spirits Ltd.,Consumer Staples,Equity,5.5%
NTPC Ltd.,Energy,Equity,5.5%
Hindalco Industries Ltd.,Metals & Mining,Equity,5.2%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,3.8%
Macrotech Developers Ltd.,Construction,Equity,3.6%
Bharti Airtel Ltd.,Communication,Equity,3.5%
RBL Bank Ltd.,Financial,Equity,3.5%
Bharat Petroleum Corporation Ltd.,Energy,Equity,3.1%
Maruti Suzuki India Ltd.,Automobile,Equity,3.0%
Wipro Ltd.,Technology,Equity,3.0%
Life Insurance Corporation of India,Insurance,Equity,2.9%
Bosch Ltd.,Automobile,Equity,2.5%
Tata Consumer Products Ltd.,Consumer Staples,Equity,2.1%
Piramal Enterprises Ltd.,Healthcare,Equity,1.9%
GAIL (India) Ltd.,Energy,Equity,1.5%
