Name,Sector,Instrument,Assets
Reliance Industries Ltd.,Energy,Equity,9.5%
State Bank of India,Financial,Equity,9.5%
United Spirits Ltd.,Consumer Staples,Equity,9.0%
HDFC Bank Ltd.,Financial,Equity,8.8%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,8.0%
Bikaji Foods International Ltd.,Consumer Staples,Equity,7.3%
NTPC Ltd.,Energy,Equity,6.9%
ITC Ltd.,Consumer Staples,Equity,5.5%
Hindalco Industries Ltd.,Metals & Mining,Equity,5.1%
Tata Consumer Products Ltd.,Consumer Staples,Equity,4.3%
UPL Ltd.,Chemicals,Equity,3.7%
Wipro Ltd.,Technology,Equity,3.5%
Life Insurance Corporation of India,Insurance,Equity,3.4%
Piramal Enterprises Ltd.,Healthcare,Equity,3.1%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,2.1%
Macrotech Developers Ltd.,Construction,Equity,2.0%
Vedanta Ltd.,Metals & Mining,Equity,1.6%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.5%
Tata Steel Ltd.,Metals & Mining,Equity,1.5%
Bharti Airtel Ltd.,Communication,Equity,1.3%
GAIL (India) Ltd.,Energy,Equity,1.2%
