Name,Sector,Instrument,Assets
Jindal Steel & Power Ltd.,Metals & Mining,Equity,7.7%
Reliance Industries Ltd.,Energy,Equity,7.3%
Bikaji Foods International Ltd.,Consumer Staples,Equity,6.8%
HDFC Bank Ltd.,Financial,Equity,6.1%
State Bank of India,Financial,Equity,6.1%
Macrotech Developers Ltd.,Construction,Equity,5.5%
Life Insurance Corporation of India,Insurance,Equity,4.9%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,4.7%
United Spirits Ltd.,Consumer Staples,Equity,4.5%
Hindalco Industries Ltd.,Metals & Mining,Equity,4.1%
Bharat Petroleum Corporation Ltd.,Energy,Equity,3.8%
Jindal Stainless Ltd.,Metals & Mining,Equity,3.7%
RBL Bank Ltd.,Financial,Equity,3.5%
Vedanta Ltd.,Metals & Mining,Equity,3.0%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,2.9%
Bharat Forge Ltd.,Automobile,Equity,2.8%
Strides Pharma Science Ltd.,Healthcare,Equity,2.5%
GAIL (India) Ltd.,Energy,Equity,2.4%
Wipro Ltd.,Technology,Equity,2.2%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,2.2%
Usha Martin Ltd.,Metals & Mining,Equity,2.0%
Bank of India,Financial,Equity,1.8%
Bharti Airtel Ltd.,Communication,Equity,1.8%
UPL Ltd.,Chemicals,Equity,1.6%
Bosch Ltd.,Automobile,Equity,1.5%
The Jammu & Kashmir Bank Ltd.,Financial,Equity,1.1%
Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
Tata Communications Ltd.,Communication,Equity,0.9%
Canara Bank,Financial,Equity,0.5%
ITC Ltd.,Consumer Staples,Equity,0.2%
