Name,Sector,Instrument,Assets
ITC Ltd.,Consumer Staples,Equity,7.4%
RBL Bank Ltd.,Financial,Equity,6.0%
Punjab National Bank,Financial,Equity,5.9%
Jindal Stainless Ltd.,Metals & Mining,Equity,5.9%
IRB Infrastructure Developers Ltd.,Construction,Equity,5.7%
Bikaji Foods International Ltd.,Consumer Staples,Equity,4.2%
HFCL Ltd.,Communication,Equity,3.3%
The India Cements Ltd.,Construction,Equity,2.7%
Hindustan Copper Ltd.,Metals & Mining,Equity,2.5%
TV18 Broadcast Ltd.,Services,Equity,2.3%
Archean Chemical Industries Ltd.,Chemicals,Equity,2.1%
Aegis Logistics Ltd.,Services,Equity,2.1%
VRL Logistics Ltd.,Services,Equity,1.8%
E.I.D. - Parry (India) Ltd.,Consumer Staples,Equity,1.8%
Arvind Ltd.,Textiles,Equity,1.8%
Just Dial Ltd.,Services,Equity,1.6%
Anand Rathi Wealth Ltd.,Financial,Equity,1.5%
Caplin Point Laboratories Ltd.,Healthcare,Equity,1.5%
Shree Renuka Sugars Ltd.,Consumer Staples,Equity,1.5%
Stylam Industries Ltd.,Consumer Staples,Equity,1.4%
Rashtriya Chemicals and Fertilizers Ltd.,Chemicals,Equity,1.4%
Man Infraconstruction Ltd.,Construction,Equity,1.3%
Blue Star Ltd.,Consumer Discretionary,Equity,1.3%
Punjab Alkalies & Chemicals Ltd.,Chemicals,Equity,1.2%
Granules India Ltd.,Healthcare,Equity,1.2%
Life Insurance Corporation of India,Insurance,Equity,1.1%
GAIL (India) Ltd.,Energy,Equity,1.1%
Jash Engineering Ltd.,Capital Goods,Equity,1.1%
Pricol Ltd.,Automobile,Equity,1.1%
Bharat Dynamics Ltd.,Capital Goods,Equity,1.0%
The Jammu & Kashmir Bank Ltd.,Financial,Equity,0.9%
Usha Martin Ltd.,Metals & Mining,Equity,0.9%
Zensar Technologies Ltd.,Technology,Equity,0.9%
Union Bank of India,Financial,Equity,0.9%
Nitin Spinners Ltd.,Textiles,Equity,0.9%
Patanjali Foods Ltd.,Consumer Staples,Equity,0.9%
Strides Pharma Science Ltd.,Healthcare,Equity,0.8%
Tata Coffee Ltd.,Consumer Staples,Equity,0.8%
Marksans Pharma Ltd.,Healthcare,Equity,0.8%
Orient Paper & Industries Ltd.,Consumer Staples,Equity,0.8%
Best Agrolife Ltd.,Chemicals,Equity,0.7%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.7%
Suzlon Energy Ltd.,Capital Goods,Equity,0.7%
Ramkrishna Forgings Ltd.,Metals & Mining,Equity,0.7%
Gulshan Polyols Ltd.,Chemicals,Equity,0.6%
KSB Ltd.,Capital Goods,Equity,0.6%
Himadri Speciality Chemical Ltd.,Chemicals,Equity,0.6%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,0.6%
Motilal Oswal Financial Services Ltd.,Financial,Equity,0.6%
TV Today Network Ltd.,Services,Equity,0.6%
Taj GVK Hotels & Resorts Ltd.,Services,Equity,0.6%
Neuland Laboratories Ltd.,Healthcare,Equity,0.6%
Minda Corporation Ltd.,Automobile,Equity,0.6%
Garware Hi-Tech Films Ltd.,Chemicals,Equity,0.6%
SIS Ltd.,Services,Equity,0.6%
Apollo Micro Systems Ltd.,Capital Goods,Equity,0.6%
Bharat Rasayan Ltd.,Chemicals,Equity,0.6%
PTC India Financial Services Ltd.,Financial,Equity,0.6%
Confidence Petroleum India Ltd.,Services,Equity,0.6%
West Coast Paper Mills Ltd.,Consumer Staples,Equity,0.5%
Vimta Labs Ltd.,Healthcare,Equity,0.5%
Prudent Corporate Advisory Services Ltd.,Financial,Equity,0.5%
Sun Pharma Advanced Research Company Ltd.,Healthcare,Equity,0.4%
Jubilant Ingrevia Ltd.,Chemicals,Equity,0.3%
Birlasoft Ltd.,Technology,Equity,0.3%
AGS Transact Technologies Ltd.,Services,Equity,0.2%
Nahar Spinning Mills Ltd.,Textiles,Equity,0.2%
BEML Land Assets Ltd.,Services,Equity,0.2%
NACL Industries Ltd.,Chemicals,Equity,0.2%
Arvind Smartspaces Ltd.,Construction,Equity,0.1%
Oriental Hotels Ltd.,Services,Equity,0.1%
