Name,Sector,Instrument,Assets
Housing Development Finance Corporation Ltd.,Financial,Equity,7.8%
ICICI Bank Ltd.,Financial,Equity,6.8%
HDFC Bank Ltd.,Financial,Equity,6.8%
Infosys Ltd.,Technology,Equity,5.7%
State Bank of India,Financial,Equity,5.3%
Mahindra & Mahindra Ltd.,Automobile,Equity,4.8%
Wipro Ltd.,Technology,Equity,4.4%
Eicher Motors Ltd.,Automobile,Equity,4.1%
Hero Motocorp Ltd.,Automobile,Equity,3.7%
Tata Consultancy Services Ltd.,Technology,Equity,3.7%
Bharti Airtel Ltd.,Communication,Equity,3.6%
Tech Mahindra Ltd.,Technology,Equity,3.4%
Bajaj Auto Ltd.,Automobile,Equity,3.4%
Cipla Ltd.,Healthcare,Equity,3.2%
NTPC Ltd.,Energy,Equity,3.1%
Shriram Finance Ltd,Financial,Equity,3.0%
Tata Steel Ltd.,Metals & Mining,Equity,2.8%
LIC Housing Finance Ltd.,Financial,Equity,2.7%
Indusind Bank Ltd.,Financial,Equity,2.3%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,2.1%
GAIL (India) Ltd.,Energy,Equity,2.0%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.9%
Gujarat State Petronet Ltd.,Energy,Equity,1.9%
Aditya Birla Sun Life AMC Ltd.,Financial,Equity,1.9%
Exide Industries Ltd.,Capital Goods,Equity,1.4%
Cummins India Ltd.,Capital Goods,Equity,1.1%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.8%
ICICI Securities Ltd.,Financial,Equity,0.2%
