Name,Sector,Instrument,Assets
Bharti Airtel Ltd.,Communication,Equity,8.9%
ITC Ltd.,Consumer Staples,Equity,8.6%
Hindustan Unilever Ltd.,Consumer Staples,Equity,7.3%
Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,4.7%
Chalet Hotels Ltd.,Services,Equity,4.2%
Go Fashion (India) Ltd.,Services,Equity,4.1%
Hero Motocorp Ltd.,Automobile,Equity,3.9%
Page Industries Ltd.,Textiles,Equity,3.8%
Interglobe Aviation Ltd.,Services,Equity,3.4%
Britannia Industries Ltd.,Consumer Staples,Equity,3.4%
Maruti Suzuki India Ltd.,Automobile,Equity,3.4%
PVR Ltd.,Services,Equity,3.2%
The Indian Hotels Company Ltd.,Services,Equity,3.0%
Sheela Foam Ltd.,Consumer Discretionary,Equity,2.9%
Hawkins Cookers Ltd.,Consumer Discretionary,Equity,2.6%
Blue Star Ltd.,Consumer Discretionary,Equity,2.4%
Mrs. Bectors Food Specialities Ltd.,Consumer Staples,Equity,2.3%
Vedant Fashions Ltd.,Services,Equity,2.3%
NetFlix Inc. (USA),Services,Forgn. Eq,2.3%
Relaxo Footwears Ltd.,Consumer Staples,Equity,2.3%
Invesco QQQ Trust Series I,Financial,Forgn.MF- Equity,2.1%
Emami Ltd.,Consumer Staples,Equity,2.0%
Ganesha Ecosphere Ltd.,Textiles,Equity,2.0%
Berger Paints India Ltd.,Chemicals,Equity,1.9%
Sula Vineyards Ltd.,Consumer Staples,Equity,1.8%
United Breweries Ltd.,Consumer Staples,Equity,1.8%
V-Guard Industries Ltd.,Consumer Discretionary,Equity,1.6%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.3%
Dodla Dairy Ltd,Consumer Staples,Equity,0.9%
Reserve Bank of India,Financial,T-Bills,0.8%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.8%
Hatsun Agro Product Ltd.,Consumer Staples,Equity,0.7%
TTK Prestige Ltd.,Consumer Discretionary,Equity,0.1%
