Name,Sector,Instrument,Assets
Ambuja Cements Ltd.,Construction,Equity,8.8%
Hindalco Industries Ltd.,Metals & Mining,Equity,7.9%
Reliance Industries Ltd.,Energy,Equity,6.1%
ACC Ltd.,Construction,Equity,5.5%
Ultratech Cement Ltd.,Construction,Equity,5.3%
CCL Products (India) Ltd.,Consumer Staples,Equity,5.0%
NTPC Ltd.,Energy,Equity,5.0%
Coal India Ltd.,Energy,Equity,4.9%
K.P.R. Mill Ltd.,Textiles,Equity,4.8%
Paradeep Phosphates Ltd.,Chemicals,Equity,4.3%
Neogen Chemicals Ltd.,Chemicals,Equity,4.1%
Antony Waste Handling Cell Ltd.,Services,Equity,4.0%
Tata Steel Ltd.,Metals & Mining,Equity,4.0%
Sagar Cements Ltd.,Construction,Equity,3.5%
Archean Chemical Industries Ltd.,Chemicals,Equity,3.5%
Hindustan Copper Ltd.,Metals & Mining,Equity,3.5%
The India Cements Ltd.,Construction,Equity,3.3%
Andhra Paper Ltd.,Consumer Staples,Equity,3.3%
Clean Science And Technology Ltd.,Chemicals,Equity,2.9%
Aether Industries Ltd.,Chemicals,Equity,2.9%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.0%
Rossari Biotech Ltd.,Chemicals,Equity,1.9%
