Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,5.5%
Larsen & Toubro Ltd.,Construction,Equity,4.3%
State Bank of India,Financial,Equity,4.0%
Reliance Industries Ltd.,Energy,Equity,3.9%
HDFC Bank Ltd.,Financial,Equity,3.6%
Cummins India Ltd.,Capital Goods,Equity,3.6%
Mahindra & Mahindra Ltd.,Automobile,Equity,3.6%
Axis Bank Ltd.,Financial,Equity,3.5%
Infosys Ltd.,Technology,Equity,3.2%
Cipla Ltd.,Healthcare,Equity,3.1%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,2.6%
ITC Ltd.,Consumer Staples,Equity,2.5%
Bharti Airtel Ltd.,Communication,Equity,2.4%
Tech Mahindra Ltd.,Technology,Equity,2.3%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.2%
GAIL (India) Ltd.,Energy,Equity,2.1%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.1%
NTPC Ltd.,Energy,Equity,1.8%
AIA Engineering Ltd.,Metals & Mining,Equity,1.8%
The Federal Bank Ltd.,Financial,Equity,1.7%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.6%
Torrent Power Ltd.,Energy,Equity,1.6%
The Phoenix Mills Ltd.,Construction,Equity,1.5%
Equitas Small Finance Bank Ltd.,Financial,Equity,1.4%
Rallis India Ltd.,Chemicals,Equity,1.4%
Tata Steel Ltd.,Metals & Mining,Equity,1.3%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.3%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.3%
Wipro Ltd.,Technology,Equity,1.3%
GE T&D India Ltd.,Capital Goods,Equity,1.3%
Sundaram-Clayton Ltd.,Automobile,Equity,1.2%
Ambuja Cements Ltd.,Construction,Equity,1.2%
Indian Oil Corporation Ltd.,Energy,Equity,1.1%
Punjab National Bank,Financial,Equity,1.1%
Chemplast Sanmar Ltd.,Chemicals,Equity,1.1%
ACC Ltd.,Construction,Equity,1.0%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.0%
Container Corporation Of India Ltd.,Services,Equity,1.0%
Indian Bank,Financial,Equity,1.0%
DLF Ltd. - (DLF),Construction,Equity,0.9%
Shree Cement Ltd.,Construction,Equity,0.9%
Tata Motors Ltd.,Automobile,Equity,0.9%
Prism Johnson Ltd.,Construction,Equity,0.8%
HCL Technologies Ltd.,Technology,Equity,0.8%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.7%
Sanofi India Ltd.,Healthcare,Equity,0.7%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.7%
IRB Infrastructure Developers Ltd.,Construction,Equity,0.7%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.7%
Strides Pharma Science Ltd.,Healthcare,Equity,0.6%
Aster DM Healthcare Ltd.,Healthcare,Equity,0.6%
VA Tech Wabag Ltd.,Capital Goods,Equity,0.4%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.4%
The New India Assurance Company Ltd.,Insurance,Equity,0.4%
Hindustan Copper Ltd.,Metals & Mining,Equity,0.4%
Exide Industries Ltd.,Capital Goods,Equity,0.3%
Computer Age Management Services Ltd.,Services,Equity,0.3%
PB Fintech Ltd.,Services,Equity,0.2%
Grindwell Norton Ltd.,Metals & Mining,Equity,0.2%
