Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,16.3%
Max Healthcare Institute Ltd.,Healthcare,Equity,9.7%
Cipla Ltd.,Healthcare,Equity,9.3%
Aether Industries Ltd.,Chemicals,Equity,6.1%
Global Health Ltd.,Healthcare,Equity,5.5%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,5.4%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,5.3%
Abbott India Ltd.,Healthcare,Equity,4.1%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,3.7%
Fortis Healthcare Ltd.,Healthcare,Equity,3.5%
Medplus Health Services Ltd.,Healthcare,Equity,3.4%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,3.3%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,3.3%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,3.2%
Alkem Laboratories Ltd.,Healthcare,Equity,3.2%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,3.1%
Divi's Laboratories Ltd.,Healthcare,Equity,3.1%
Gland Pharma Ltd.,Healthcare,Equity,2.9%
Ami Organics Ltd.,Healthcare,Equity,1.6%
Gufic Biosciences Ltd.,Healthcare,Equity,1.4%
Shreno Ltd.,Construction,Equity,0.4%
