Name,Sector,Instrument,Assets
Blue Star Ltd.,Consumer Discretionary,Equity,3.7%
Vedant Fashions Ltd.,Services,Equity,3.1%
V-Guard Industries Ltd.,Consumer Discretionary,Equity,2.9%
Finolex Industries Ltd.,Chemicals,Equity,2.9%
Carborundum Universal Ltd.,Metals & Mining,Equity,2.8%
Lemon Tree Hotels Ltd.,Services,Equity,2.8%
Elgi Equipments Ltd.,Capital Goods,Equity,2.7%
Sheela Foam Ltd.,Consumer Discretionary,Equity,2.7%
Fine Organic Industries Ltd.,Chemicals,Equity,2.6%
Triveni Turbine Ltd.,Capital Goods,Equity,2.6%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,2.5%
Esab India Ltd.,Capital Goods,Equity,2.4%
Timken India Ltd.,Capital Goods,Equity,2.4%
Westlife Foodworld Ltd,Services,Equity,2.3%
Chalet Hotels Ltd.,Services,Equity,2.2%
Rajratan Global Wire Ltd.,Metals & Mining,Equity,2.2%
LIC Housing Finance Ltd.,Financial,Equity,2.1%
PVR Ltd.,Services,Equity,2.1%
GR Infraprojects Ltd.,Construction,Equity,2.0%
Navin Fluorine International Ltd.,Chemicals,Equity,1.9%
Global Health Ltd.,Healthcare,Equity,1.8%
CMS Info Systems Ltd.,Services,Equity,1.7%
Hatsun Agro Product Ltd.,Consumer Staples,Equity,1.7%
CSB Bank Ltd.,Financial,Equity,1.7%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.7%
TTK Prestige Ltd.,Consumer Discretionary,Equity,1.5%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.5%
Hawkins Cookers Ltd.,Consumer Discretionary,Equity,1.5%
Ahluwalia Contracts (India) Ltd.,Construction,Equity,1.4%
VST Industries Ltd.,Consumer Staples,Equity,1.4%
V-Mart Retail Ltd.,Services,Equity,1.4%
City Union Bank Ltd.,Financial,Equity,1.3%
KNR Constructions Ltd.,Construction,Equity,1.3%
Go Fashion (India) Ltd.,Services,Equity,1.3%
Dodla Dairy Ltd,Consumer Staples,Equity,1.2%
Chemplast Sanmar Ltd.,Chemicals,Equity,1.1%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.1%
Relaxo Footwears Ltd.,Consumer Staples,Equity,1.1%
Star Cement Ltd.,Construction,Equity,1.0%
Rossari Biotech Ltd.,Chemicals,Equity,1.0%
Nuvoco Vistas Corporation Ltd.,Construction,Equity,0.8%
Brigade Enterprises Ltd.,Construction,Equity,0.7%
GE T&D India Ltd.,Capital Goods,Equity,0.6%
Engineers India Ltd.,Construction,Equity,0.6%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,0.5%
Alembic Ltd.,Healthcare,Equity,0.5%
Garware Technical Fibres Ltd.,Textiles,Equity,0.4%
Thangamayil Jewellery Ltd.,Consumer Discretionary,Equity,0.4%
Anand Rathi Wealth Ltd.,Financial,Equity,0.3%
Zydus Wellness Ltd.,Consumer Staples,Equity,0.2%
Gujarat State Petronet Ltd.,Energy,Equity,0.1%
Shreno Ltd.,Construction,Equity,0.1%
