Name,Sector,Instrument,Assets
Reliance Industries Ltd.,Energy,Equity,9.2%
ICICI Bank Ltd.,Financial,Equity,8.7%
HDFC Bank Ltd.,Financial,Equity,6.9%
Infosys Ltd.,Technology,Equity,6.5%
State Bank of India,Financial,Equity,5.3%
Tata Consultancy Services Ltd.,Technology,Equity,4.5%
Axis Bank Ltd.,Financial,Equity,3.8%
Solar Industries India Ltd.,Chemicals,Equity,2.9%
Larsen & Toubro Ltd.,Construction,Equity,2.6%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,2.5%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.5%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.5%
Metro Brands Ltd.,Consumer Staples,Equity,2.4%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.2%
Bajaj Finance Ltd.,Financial,Equity,2.1%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.1%
Bharat Electronics Ltd.,Capital Goods,Equity,2.0%
UNO Minda Ltd.,Automobile,Equity,2.0%
Ashok Leyland Ltd.,Automobile,Equity,1.8%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.8%
VIP Industries Ltd.,Chemicals,Equity,1.7%
LTIMindtree Ltd.,Technology,Equity,1.6%
Container Corporation Of India Ltd.,Services,Equity,1.5%
ITC Ltd.,Consumer Staples,Equity,1.5%
PI Industries Ltd.,Chemicals,Equity,1.4%
Navin Fluorine International Ltd.,Chemicals,Equity,1.4%
Tube Investments Of India Ltd.,Automobile,Equity,1.4%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.3%
Punjab National Bank,Financial,Equity,1.3%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.1%
Bajaj Finserv Ltd.,Financial,Equity,1.0%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.0%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.0%
Happiest Minds Technologies Ltd.,Technology,Equity,0.9%
SRF Ltd.,Diversified,Equity,0.5%
Balaji Amines Ltd.,Chemicals,Equity,0.5%
