Name,Sector,Instrument,Assets
Reliance Industries Ltd.,Energy,Equity,8.1%
ICICI Bank Ltd.,Financial,Equity,7.0%
Infosys Ltd.,Technology,Equity,6.2%
State Bank of India,Financial,Equity,5.9%
Tata Consultancy Services Ltd.,Technology,Equity,5.1%
Axis Bank Ltd.,Financial,Equity,4.8%
HDFC Bank Ltd.,Financial,Equity,4.4%
Larsen & Toubro Ltd.,Construction,Equity,3.8%
Bajaj Finance Ltd.,Financial,Equity,2.7%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.6%
Bharat Electronics Ltd.,Capital Goods,Equity,2.4%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.2%
Punjab National Bank,Financial,Equity,2.1%
Radico Khaitan Ltd.,Consumer Staples,Equity,1.8%
Bharti Airtel Ltd.,Communication,Equity,1.6%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.5%
LTIMindtree Ltd.,Technology,Equity,1.5%
United Spirits Ltd.,Consumer Staples,Equity,1.5%
Ashok Leyland Ltd.,Automobile,Equity,1.4%
Happiest Minds Technologies Ltd.,Technology,Equity,1.4%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.3%
Navin Fluorine International Ltd.,Chemicals,Equity,1.3%
Container Corporation Of India Ltd.,Services,Equity,1.3%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.2%
PVR Ltd.,Services,Equity,1.1%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.1%
PI Industries Ltd.,Chemicals,Equity,1.1%
IDFC First Bank Ltd.,Financial,Equity,1.1%
Metro Brands Ltd.,Consumer Staples,Equity,1.0%
Coforge Ltd.,Technology,Equity,1.0%
K.P.R. Mill Ltd.,Textiles,Equity,0.9%
Adani Enterprises Ltd.,Services,Equity,0.9%
CSB Bank Ltd.,Financial,Equity,0.8%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,0.7%
SRF Ltd.,Diversified,Equity,0.7%
Bank Of Baroda,Financial,Equity,0.5%
Canara Bank,Financial,Equity,0.5%
Sundram Fasteners Ltd.,Capital Goods,Equity,0.4%
Varun Beverages Ltd.,Consumer Staples,Equity,0.4%
Sonata Software Ltd.,Technology,Equity,0.3%
Praj Industries Ltd.,Capital Goods,Equity,0.3%
Solar Industries India Ltd.,Chemicals,Equity,0.2%
Birlasoft Ltd.,Technology,Equity,0.1%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,0.1%
