Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,8.6%
HDFC Bank Ltd.,Financial,Equity,7.7%
Reliance Industries Ltd.,Energy,Equity,7.6%
Housing Development Finance Corporation Ltd.,Financial,Equity,6.7%
Infosys Ltd.,Technology,Equity,6.3%
State Bank of India,Financial,Equity,5.1%
Larsen & Toubro Ltd.,Construction,Equity,4.9%
Axis Bank Ltd.,Financial,Equity,4.4%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.7%
Tata Consultancy Services Ltd.,Technology,Equity,2.7%
Maruti Suzuki India Ltd.,Automobile,Equity,2.6%
Bharti Airtel Ltd.,Communication,Equity,2.5%
Ashok Leyland Ltd.,Automobile,Equity,2.4%
Bajaj Finserv Ltd.,Financial,Equity,1.9%
United Spirits Ltd.,Consumer Staples,Equity,1.9%
Indusind Bank Ltd.,Financial,Equity,1.8%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.7%
Cipla Ltd.,Healthcare,Equity,1.6%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.5%
Varun Beverages Ltd.,Consumer Staples,Equity,1.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.3%
Interglobe Aviation Ltd.,Services,Equity,1.3%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.2%
NTPC Ltd.,Energy,Equity,1.1%
Ultratech Cement Ltd.,Construction,Equity,1.0%
HCL Technologies Ltd.,Technology,Equity,1.0%
Ambuja Cements Ltd.,Construction,Equity,0.9%
Titan Company Ltd.,Consumer Discretionary,Equity,0.8%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,0.8%
Tata Consumer Products Ltd.,Consumer Staples,Equity,0.8%
Wipro Ltd.,Technology,Equity,0.7%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.7%
Oberoi Realty Ltd.,Construction,Equity,0.7%
Canara Bank,Financial,Equity,0.7%
Avenue Supermarts Ltd.,Services,Equity,0.6%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.6%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.6%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.6%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.5%
Britannia Industries Ltd.,Consumer Staples,Equity,0.5%
Havells India Ltd.,Capital Goods,Equity,0.5%
Bajaj Finance Ltd.,Financial,Equity,0.4%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.4%
SRF Ltd.,Diversified,Equity,0.3%
Asian Paints Ltd.,Chemicals,Equity,0.3%
Polycab India Ltd.,Capital Goods,Equity,0.2%
Housing Development Finance Corporation Ltd.,Financial,Warrant,0.2%
CE Info Systems Ltd.,Technology,Equity,0.2%
Divi's Laboratories Ltd.,Healthcare,Equity,0.2%
